track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,artifact,short_branch_artifact,4,4,3,6,177.5,175.5,0.6123,True
2,artifact,short_branch_artifact,8,8,3,13,257.25,249.88,0.5952,True
3,bifurcation,bifurcation,1,1,4,4,251.0,259.0,1.0,False
4,artifact,short_branch_artifact,4,4,5,9,168.75,198.5,0.5976,True
5,artifact,short_branch_artifact,1,1,5,5,168.0,185.0,0.5919,False
6,artifact,short_branch_artifact,3,3,6,8,178.33,165.67,0.6293,True
7,artifact,short_branch_artifact,2,2,7,8,156.5,223.5,0.5942,False
8,artifact,short_branch_artifact,10,10,7,24,254.7,236.6,0.6163,True
9,bifurcation,bifurcation,6,6,7,12,189.0,196.0,0.9945,True
10,artifact,short_branch_artifact,2,2,8,10,170.5,240.5,0.5954,False
11,artifact,short_branch_artifact,1,1,9,9,396.0,224.0,0.6448,False
12,bifurcation,bifurcation,1,1,9,9,186.0,173.0,0.9316,False
13,bifurcation,bifurcation,1,1,9,9,246.0,227.0,0.7755,False
14,bifurcation,bifurcation,1,1,9,9,260.0,235.0,0.7552,False
15,artifact,short_branch_artifact,4,4,10,14,192.5,259.25,0.5732,True
16,artifact,short_branch_artifact,11,11,10,22,213.73,193.36,0.6323,True
17,bifurcation,bifurcation,1,1,10,10,189.0,221.0,0.9513,False
18,bifurcation,bifurcation,2,2,10,14,272.5,265.5,0.9492,False
19,artifact,short_branch_artifact,5,5,11,19,203.8,236.8,0.6167,True
20,artifact,short_branch_artifact,2,2,11,12,273.0,266.0,0.5651,False
21,artifact,short_branch_artifact,2,2,11,12,268.0,250.0,0.6261,False
22,artifact,short_branch_artifact,3,3,11,13,287.33,287.0,0.6199,True
23,artifact,short_branch_artifact,1,1,11,11,344.0,293.0,0.6253,False
24,bifurcation,bifurcation,4,4,11,21,200.0,258.0,0.9859,True
25,bifurcation,bifurcation,1,1,11,11,213.0,163.0,0.9076,False
26,artifact,short_branch_artifact,12,12,12,26,222.25,270.25,0.5865,True
27,artifact,short_branch_artifact,2,2,12,14,236.5,251.0,0.6077,False
28,artifact,short_branch_artifact,4,4,12,15,295.75,296.75,0.5918,True
29,artifact,short_branch_artifact,3,3,12,14,319.33,260.33,0.635,True
30,artifact,short_branch_artifact,4,4,12,15,372.25,297.75,0.6168,True
31,bifurcation,bifurcation,3,3,12,17,203.67,239.33,0.9161,True
32,artifact,short_branch_artifact,3,3,13,15,216.0,214.0,0.6186,True
33,artifact,short_branch_artifact,9,9,13,24,222.22,183.22,0.628,True
34,crossing_or_overlap,crossing_or_overlap,1,1,13,13,269.0,253.0,0.7488,False
35,crossing_or_overlap,crossing_or_overlap,1,1,13,13,281.0,268.0,0.8218,False
36,artifact,short_branch_artifact,1,1,14,14,224.0,279.0,0.5587,False
37,artifact,short_branch_artifact,1,1,14,14,344.0,397.0,0.6458,False
38,bifurcation,bifurcation,1,1,14,14,283.0,274.0,0.8112,False
39,artifact,short_branch_artifact,1,1,15,15,239.0,196.0,0.6235,False
