name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0001_00000001_f0012_4,12,0,0,0,0,0
p0001_00000001_f0013_4,13,1,0,0,0,0
p0001_00000001_f0014_4,14,1,0,1,0,0
p0001_00000001_f0015_4,15,1,0,6,0,0
p0001_00000001_f0016_4,16,2,1,4,1,1
p0001_00000001_f0017_4,17,3,0,9,0,0
p0001_00000001_f0018_4,18,5,0,4,0,2
p0001_00000001_f0019_4,19,2,1,7,1,2
p0001_00000001_f0020_4,20,4,2,11,0,1
p0001_00000001_f0021_4,21,4,2,16,0,1
p0001_00000001_f0022_4,22,2,0,23,2,1
p0001_00000001_f0023_4,23,8,4,30,1,4
p0001_00000001_f0024_4,24,9,3,24,0,4
p0001_00000001_f0025_4,25,10,5,31,1,2
p0001_00000001_f0026_4,26,14,4,27,2,4
