track_id,stable,broad_type,name,frame_id,frame_num,node_id,pixel_r,pixel_c,node_type,confidence
1,False,bifurcation,p0006_00000001_f0017_2,f0017,17,0,219.0,275.0,bifurcation,0.9349
1,False,bifurcation,p0006_00000001_f0018_2,f0018,18,0,221.0,278.0,bifurcation,1.0
2,False,artifact,p0006_00000001_f0020_2,f0020,20,24,325.0,401.0,short_branch_artifact,0.6166
3,False,bifurcation,p0006_00000001_f0020_2,f0020,20,1,214.0,243.0,bifurcation,0.9977
4,True,artifact,p0006_00000001_f0021_2,f0021,21,22,317.0,376.0,short_branch_artifact,0.5739
4,True,artifact,p0006_00000001_f0022_2,f0022,22,40,311.0,368.0,short_branch_artifact,0.5975
4,True,artifact,p0006_00000001_f0023_2,f0023,23,40,313.0,365.0,short_branch_artifact,0.6142
4,True,artifact,p0006_00000001_f0026_2,f0026,26,16,316.0,356.0,short_branch_artifact,0.5773
5,False,bifurcation,p0006_00000001_f0021_2,f0021,21,1,203.0,225.0,bifurcation,0.8708
6,False,artifact,p0006_00000001_f0022_2,f0022,22,11,222.0,354.0,short_branch_artifact,0.6395
7,False,artifact,p0006_00000001_f0022_2,f0022,22,28,268.0,292.0,short_branch_artifact,0.5969
8,False,artifact,p0006_00000001_f0023_2,f0023,23,21,259.0,253.0,short_branch_artifact,0.621
9,False,artifact,p0006_00000001_f0024_2,f0024,24,20,269.0,232.0,short_branch_artifact,0.5633
10,False,bifurcation,p0006_00000001_f0024_2,f0024,24,36,316.0,337.0,bifurcation,0.8766
10,False,bifurcation,p0006_00000001_f0025_2,f0025,25,16,316.0,349.0,bifurcation,0.9293
11,False,bifurcation,p0006_00000001_f0024_2,f0024,24,54,374.0,266.0,bifurcation,0.9699
12,False,bifurcation,p0006_00000001_f0026_2,f0026,26,0,215.0,217.0,bifurcation,1.0
12,False,bifurcation,p0006_00000001_f0027_2,f0027,27,0,221.0,233.0,bifurcation,0.9665
13,False,bifurcation,p0006_00000001_f0026_2,f0026,26,58,574.0,468.0,bifurcation,1.0
14,False,artifact,p0006_00000001_f0027_2,f0027,27,24,335.0,394.0,short_branch_artifact,0.627
15,False,artifact,p0006_00000001_f0027_2,f0027,27,62,582.0,486.0,short_branch_artifact,0.6296
16,False,bifurcation,p0006_00000001_f0027_2,f0027,27,15,283.0,276.0,bifurcation,0.9467
17,False,artifact,p0006_00000001_f0028_2,f0028,28,18,317.0,315.0,short_branch_artifact,0.6183
17,False,artifact,p0006_00000001_f0032_2,f0032,32,37,323.0,315.0,short_branch_artifact,0.6134
18,False,bifurcation,p0006_00000001_f0028_2,f0028,28,0,233.0,248.0,bifurcation,0.9212
18,False,bifurcation,p0006_00000001_f0032_2,f0032,32,0,241.0,245.0,bifurcation,0.9841
19,False,crossing_or_overlap,p0006_00000001_f0028_2,f0028,28,26,357.0,407.0,crossing_or_overlap,0.6591
20,True,artifact,p0006_00000001_f0029_2,f0029,29,8,282.0,383.0,short_branch_artifact,0.6036
20,True,artifact,p0006_00000001_f0030_2,f0030,30,19,288.0,393.0,short_branch_artifact,0.5685
20,True,artifact,p0006_00000001_f0033_2,f0033,33,26,278.0,388.0,short_branch_artifact,0.5393
20,True,artifact,p0006_00000001_f0034_2,f0034,34,30,265.0,390.0,short_branch_artifact,0.5455
20,True,artifact,p0006_00000001_f0036_2,f0036,36,24,258.0,375.0,short_branch_artifact,0.5747
20,True,artifact,p0006_00000001_f0038_2,f0038,38,22,253.0,378.0,short_branch_artifact,0.5733
21,True,artifact,p0006_00000001_f0029_2,f0029,29,27,335.0,345.0,short_branch_artifact,0.5972
21,True,artifact,p0006_00000001_f0030_2,f0030,30,40,338.0,349.0,short_branch_artifact,0.6297
21,True,artifact,p0006_00000001_f0031_2,f0031,31,32,342.0,351.0,short_branch_artifact,0.6104
22,True,artifact,p0006_00000001_f0029_2,f0029,29,36,371.0,427.0,short_branch_artifact,0.5918
22,True,artifact,p0006_00000001_f0030_2,f0030,30,49,380.0,437.0,short_branch_artifact,0.6054
22,True,artifact,p0006_00000001_f0031_2,f0031,31,43,385.0,434.0,short_branch_artifact,0.5898
23,False,bifurcation,p0006_00000001_f0029_2,f0029,29,0,245.0,262.0,bifurcation,0.9629
23,False,bifurcation,p0006_00000001_f0031_2,f0031,31,0,248.0,265.0,bifurcation,0.9804
24,False,artifact,p0006_00000001_f0030_2,f0030,30,1,247.0,269.0,short_branch_artifact,0.602
25,False,artifact,p0006_00000001_f0030_2,f0030,30,0,252.0,257.0,short_branch_artifact,0.5423
26,False,artifact,p0006_00000001_f0030_2,f0030,30,25,297.0,490.0,short_branch_artifact,0.5879
27,False,bifurcation,p0006_00000001_f0030_2,f0030,30,14,282.0,443.0,bifurcation,0.8127
28,False,bifurcation,p0006_00000001_f0030_2,f0030,30,62,449.0,385.0,bifurcation,0.9597
29,False,artifact,p0006_00000001_f0031_2,f0031,31,8,279.0,433.0,short_branch_artifact,0.5028
30,False,artifact,p0006_00000001_f0031_2,f0031,31,56,446.0,384.0,short_branch_artifact,0.613
31,False,bifurcation,p0006_00000001_f0031_2,f0031,31,13,286.0,388.0,bifurcation,0.9695
31,False,bifurcation,p0006_00000001_f0032_2,f0032,32,15,272.0,398.0,bifurcation,0.9445
32,False,artifact,p0006_00000001_f0032_2,f0032,32,13,269.0,418.0,short_branch_artifact,0.5311
33,True,artifact,p0006_00000001_f0032_2,f0032,32,16,273.0,375.0,short_branch_artifact,0.5765
33,True,artifact,p0006_00000001_f0034_2,f0034,34,29,262.0,385.0,short_branch_artifact,0.5379
33,True,artifact,p0006_00000001_f0036_2,f0036,36,19,249.0,373.0,short_branch_artifact,0.5697
