name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0001_00000004_f0001_1,1,0,0,0,0,0
p0001_00000004_f0011_1,11,2,0,15,0,0
p0001_00000004_f0019_1,19,0,0,4,0,0
p0001_00000004_f0021_1,21,1,1,11,0,0
p0001_00000004_f0026_1,26,0,0,4,0,0
p0001_00000004_f0029_1,29,0,1,6,0,0
p0001_00000004_f0031_1,31,3,0,16,0,0
p0001_00000004_f0034_1,34,4,1,10,0,0
p0001_00000004_f0036_1,36,2,0,11,0,0
p0001_00000004_f0037_1,37,3,1,17,0,0
p0001_00000004_f0039_1,39,0,0,12,1,0
