track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,artifact,short_branch_artifact,9,9,3,11,99.44,147.89,0.6142,True
2,artifact,short_branch_artifact,6,6,3,11,124.0,193.83,0.5936,True
3,bifurcation,bifurcation,3,3,5,7,74.67,177.33,0.9375,True
4,artifact,short_branch_artifact,3,3,6,8,102.67,142.33,0.5862,True
5,bifurcation,bifurcation,1,1,6,6,123.0,178.0,0.9794,False
6,artifact,short_branch_artifact,2,2,7,11,81.0,237.5,0.5658,False
7,artifact,short_branch_artifact,2,2,7,8,118.0,167.0,0.5832,False
8,artifact,short_branch_artifact,4,4,8,11,84.0,191.5,0.6075,True
9,artifact,short_branch_artifact,3,3,8,11,87.0,206.67,0.6241,True
10,artifact,short_branch_artifact,1,1,8,8,117.0,172.0,0.5664,False
11,artifact,short_branch_artifact,1,1,8,8,126.0,171.0,0.6005,False
12,artifact,short_branch_artifact,1,1,8,8,128.0,164.0,0.544,False
13,bifurcation,bifurcation,1,1,8,8,119.0,202.0,0.9902,False
14,artifact,short_branch_artifact,2,2,9,10,80.0,288.5,0.5814,False
15,artifact,short_branch_artifact,3,3,9,11,87.0,257.33,0.6054,True
16,artifact,short_branch_artifact,3,3,9,11,93.33,249.33,0.5966,True
17,artifact,short_branch_artifact,2,2,9,10,130.0,226.0,0.5821,False
18,bifurcation,bifurcation,2,2,9,10,84.0,225.5,1.0,False
19,crossing_or_overlap,crossing_or_overlap,1,1,9,9,78.0,233.0,0.7237,False
20,crossing_or_overlap,crossing_or_overlap,1,1,9,9,122.0,181.0,0.8469,False
21,artifact,short_branch_artifact,1,1,10,10,83.0,285.0,0.565,False
22,artifact,short_branch_artifact,1,1,10,10,110.0,334.0,0.5887,False
23,artifact,short_branch_artifact,2,2,10,11,128.0,199.5,0.6283,False
24,artifact,short_branch_artifact,1,1,10,10,244.0,226.0,0.6383,False
25,bifurcation,bifurcation,1,1,10,10,84.0,234.0,1.0,False
26,bifurcation,bifurcation,2,2,10,11,219.5,232.0,1.0,False
27,crossing_or_overlap,crossing_or_overlap,1,1,10,10,82.0,292.0,0.7933,False
28,crossing_or_overlap,crossing_or_overlap,1,1,10,10,97.0,233.0,0.7477,False
29,artifact,short_branch_artifact,1,1,11,11,89.0,232.0,0.5546,False
30,artifact,short_branch_artifact,1,1,11,11,95.0,229.0,0.5723,False
31,artifact,short_branch_artifact,1,1,11,11,97.0,260.0,0.6376,False
32,artifact,short_branch_artifact,1,1,11,11,100.0,242.0,0.6061,False
33,artifact,short_branch_artifact,1,1,11,11,101.0,262.0,0.5966,False
34,artifact,short_branch_artifact,1,1,11,11,103.0,270.0,0.6007,False
35,artifact,short_branch_artifact,1,1,11,11,103.0,284.0,0.604,False
36,artifact,short_branch_artifact,1,1,11,11,109.0,266.0,0.5519,False
37,artifact,short_branch_artifact,1,1,11,11,110.0,281.0,0.5982,False
38,artifact,short_branch_artifact,1,1,11,11,114.0,209.0,0.6046,False
39,artifact,short_branch_artifact,1,1,11,11,118.0,268.0,0.5831,False
40,artifact,short_branch_artifact,1,1,11,11,129.0,209.0,0.6059,False
41,artifact,short_branch_artifact,1,1,11,11,147.0,261.0,0.6072,False
42,bifurcation,bifurcation,1,1,11,11,139.0,248.0,1.0,False
43,bifurcation,bifurcation,1,1,11,11,243.0,237.0,1.0,False
