name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0005_00000001_f0022_8,22,0,0,0,0,0
p0005_00000001_f0023_8,23,0,0,0,0,0
p0005_00000001_f0024_8,24,0,0,0,0,0
p0005_00000001_f0025_8,25,0,0,0,0,0
p0005_00000001_f0026_8,26,1,0,2,0,1
p0005_00000001_f0027_8,27,2,0,2,0,2
p0005_00000001_f0028_8,28,3,1,5,0,3
p0005_00000001_f0029_8,29,1,0,9,0,1
p0005_00000001_f0030_8,30,4,1,9,0,3
p0005_00000001_f0031_8,31,4,1,12,0,2
p0005_00000001_f0032_8,32,3,2,6,0,3
p0005_00000001_f0033_8,33,3,2,7,0,2
p0005_00000001_f0034_8,34,2,0,18,0,2
p0005_00000001_f0035_8,35,3,1,11,0,2
p0005_00000001_f0036_8,36,4,1,13,0,4
p0005_00000001_f0037_8,37,5,0,11,0,3
p0005_00000001_f0038_8,38,7,4,11,0,2
p0005_00000001_f0039_8,39,4,1,18,0,2
p0005_00000001_f0040_8,40,4,0,16,0,2
p0005_00000001_f0041_8,41,3,2,19,0,3
p0005_00000001_f0042_8,42,5,1,13,0,3
p0005_00000001_f0043_8,43,8,2,12,0,4
p0005_00000001_f0044_8,44,10,2,23,0,4
p0005_00000001_f0045_8,45,6,3,30,0,1
p0005_00000001_f0046_8,46,7,3,23,0,3
