name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0006_00000001_f0016_5,16,0,0,0,0,0
p0006_00000001_f0017_5,17,1,0,0,0,0
p0006_00000001_f0018_5,18,0,0,6,0,0
p0006_00000001_f0019_5,19,1,2,3,0,0
p0006_00000001_f0020_5,20,1,1,6,0,1
p0006_00000001_f0021_5,21,2,0,11,0,1
p0006_00000001_f0022_5,22,5,0,11,0,2
p0006_00000001_f0023_5,23,2,0,10,0,1
p0006_00000001_f0024_5,24,3,1,8,0,1
p0006_00000001_f0025_5,25,3,0,11,0,1
p0006_00000001_f0026_5,26,6,2,5,1,0
p0006_00000001_f0027_5,27,4,2,14,0,1
p0006_00000001_f0028_5,28,2,1,12,1,1
p0006_00000001_f0029_5,29,8,3,15,0,2
p0006_00000001_f0030_5,30,4,2,17,1,1
p0006_00000001_f0031_5,31,4,1,20,0,2
p0006_00000001_f0032_5,32,6,0,15,1,1
p0006_00000001_f0033_5,33,5,4,15,0,2
p0006_00000001_f0034_5,34,8,4,21,2,3
p0006_00000001_f0035_5,35,4,3,27,2,2
p0006_00000001_f0036_5,36,7,1,28,2,2
p0006_00000001_f0037_5,37,2,3,36,0,0
p0006_00000001_f0038_5,38,6,3,17,1,3
p0006_00000001_f0039_5,39,6,3,18,0,2
p0006_00000001_f0040_5,40,5,5,23,0,2
p0006_00000001_f0041_5,41,3,6,19,0,2
p0006_00000001_f0042_5,42,5,5,27,0,2
p0006_00000001_f0043_5,43,8,3,27,1,3
p0006_00000001_f0044_5,44,2,3,31,1,1
p0006_00000001_f0045_5,45,3,1,37,1,1
p0006_00000001_f0046_5,46,5,2,38,3,2
p0006_00000001_f0047_5,47,2,5,32,0,1
p0006_00000001_f0048_5,48,7,3,38,0,3
p0006_00000001_f0049_5,49,9,3,31,0,2
p0006_00000001_f0050_5,50,4,2,42,0,2
p0006_00000001_f0051_5,51,5,6,24,1,0
p0006_00000001_f0052_5,52,6,2,35,0,1
p0006_00000001_f0053_5,53,6,4,28,0,1
p0006_00000001_f0054_5,54,3,3,32,1,1
p0006_00000001_f0055_5,55,5,3,25,1,0
p0006_00000001_f0056_5,56,6,3,40,1,0
