name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0006_00000001_f0016_2,16,0,0,0,0,0
p0006_00000001_f0017_2,17,1,0,0,0,0
p0006_00000001_f0018_2,18,1,0,0,0,0
p0006_00000001_f0019_2,19,0,0,0,0,0
p0006_00000001_f0020_2,20,1,0,1,0,0
p0006_00000001_f0021_2,21,1,0,1,0,0
p0006_00000001_f0022_2,22,0,0,3,0,0
p0006_00000001_f0023_2,23,0,0,2,0,0
p0006_00000001_f0024_2,24,2,0,1,0,0
p0006_00000001_f0025_2,25,1,0,0,0,0
p0006_00000001_f0026_2,26,2,0,1,0,0
p0006_00000001_f0027_2,27,2,0,2,0,0
p0006_00000001_f0028_2,28,1,1,1,0,0
p0006_00000001_f0029_2,29,1,0,3,0,0
p0006_00000001_f0030_2,30,2,0,6,0,0
p0006_00000001_f0031_2,31,2,0,4,0,0
p0006_00000001_f0032_2,32,5,0,3,0,0
p0006_00000001_f0033_2,33,4,0,8,0,0
p0006_00000001_f0034_2,34,3,1,14,0,0
p0006_00000001_f0035_2,35,5,0,7,0,1
p0006_00000001_f0036_2,36,2,0,10,2,1
p0006_00000001_f0037_2,37,2,1,12,0,0
p0006_00000001_f0038_2,38,9,0,8,0,1
