track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,bifurcation,bifurcation,1,1,13,13,153.0,254.0,0.9017,False
2,artifact,short_branch_artifact,1,1,16,16,188.0,317.0,0.6189,False
3,artifact,short_branch_artifact,1,1,16,16,228.0,183.0,0.6095,False
4,artifact,short_branch_artifact,4,4,16,22,258.5,208.75,0.6275,True
5,bifurcation,bifurcation,1,1,16,16,176.0,272.0,0.9342,False
6,bifurcation,bifurcation,1,1,16,16,188.0,347.0,0.9484,False
7,artifact,short_branch_artifact,2,2,18,22,232.5,463.5,0.5849,False
8,artifact,short_branch_artifact,2,2,18,21,295.0,233.0,0.6258,False
9,bifurcation,bifurcation,3,3,18,22,197.33,292.0,0.9753,True
10,bifurcation,bifurcation,1,1,18,18,204.0,369.0,0.9983,False
11,bifurcation,bifurcation,2,2,18,21,226.0,320.5,0.9585,False
12,artifact,short_branch_artifact,1,1,21,21,196.0,388.0,0.613,False
13,artifact,short_branch_artifact,1,1,21,21,199.0,344.0,0.5547,False
14,artifact,short_branch_artifact,2,2,21,22,202.0,379.5,0.577,False
15,artifact,short_branch_artifact,2,2,21,22,204.0,327.5,0.5763,False
16,artifact,short_branch_artifact,2,2,21,22,207.0,369.0,0.5894,False
17,artifact,short_branch_artifact,2,2,21,22,220.5,334.5,0.6227,False
18,artifact,short_branch_artifact,2,2,21,22,277.5,317.5,0.6377,False
19,artifact,short_branch_artifact,1,1,21,21,341.0,394.0,0.6362,False
20,bifurcation,bifurcation,1,1,21,21,242.0,319.0,0.9914,False
21,crossing_or_overlap,crossing_or_overlap,1,1,21,21,215.0,319.0,0.6662,False
22,uncertain,uncertain_complex_junction,1,1,21,21,212.0,336.0,0.6456,False
23,artifact,short_branch_artifact,1,1,22,22,206.0,321.0,0.6421,False
24,artifact,short_branch_artifact,1,1,22,22,216.0,367.0,0.45,False
25,artifact,short_branch_artifact,1,1,22,22,216.0,423.0,0.5894,False
26,artifact,short_branch_artifact,1,1,22,22,222.0,311.0,0.6015,False
27,artifact,short_branch_artifact,1,1,22,22,222.0,332.0,0.5522,False
28,artifact,short_branch_artifact,1,1,22,22,222.0,377.0,0.5745,False
29,artifact,short_branch_artifact,1,1,22,22,222.0,442.0,0.45,False
30,artifact,short_branch_artifact,1,1,22,22,226.0,419.0,0.639,False
31,artifact,short_branch_artifact,1,1,22,22,228.0,309.0,0.6222,False
32,artifact,short_branch_artifact,1,1,22,22,244.0,313.0,0.5834,False
33,artifact,short_branch_artifact,1,1,22,22,259.0,423.0,0.5771,False
34,artifact,short_branch_artifact,1,1,22,22,358.0,378.0,0.6308,False
35,artifact,short_branch_artifact,1,1,22,22,363.0,302.0,0.6273,False
36,artifact,short_branch_artifact,1,1,22,22,379.0,313.0,0.6272,False
37,bifurcation,bifurcation,1,1,22,22,305.0,226.0,0.8668,False
38,bifurcation,bifurcation,1,1,22,22,329.0,318.0,1.0,False
39,artifact,short_branch_artifact,3,3,29,32,221.0,396.67,0.5908,True
40,artifact,short_branch_artifact,3,3,29,32,225.0,385.67,0.5837,True
41,artifact,short_branch_artifact,3,3,29,32,226.0,347.33,0.5681,True
42,artifact,short_branch_artifact,2,2,29,31,232.0,373.0,0.5857,False
43,artifact,short_branch_artifact,3,3,29,32,235.67,346.0,0.5965,True
44,artifact,short_branch_artifact,1,1,29,29,252.0,448.0,0.5198,False
45,artifact,short_branch_artifact,4,4,29,37,238.0,428.25,0.5728,True
46,artifact,short_branch_artifact,1,1,29,29,254.0,456.0,0.5155,False
47,artifact,short_branch_artifact,1,1,29,29,255.0,345.0,0.5712,False
48,artifact,short_branch_artifact,1,1,29,29,258.0,422.0,0.6256,False
49,artifact,short_branch_artifact,1,1,29,29,260.0,468.0,0.5862,False
50,artifact,short_branch_artifact,1,1,29,29,261.0,455.0,0.5885,False
51,artifact,short_branch_artifact,1,1,29,29,272.0,208.0,0.6412,False
52,artifact,short_branch_artifact,1,1,29,29,283.0,458.0,0.6369,False
53,artifact,short_branch_artifact,1,1,29,29,287.0,462.0,0.533,False
54,artifact,short_branch_artifact,3,3,29,35,289.0,312.0,0.6099,True
55,artifact,short_branch_artifact,3,3,29,35,305.67,314.0,0.5998,True
56,artifact,short_branch_artifact,3,3,29,35,301.67,492.0,0.602,True
57,artifact,short_branch_artifact,3,3,29,35,300.67,479.33,0.5822,True
58,artifact,short_branch_artifact,4,4,29,35,318.25,321.5,0.6055,True
59,artifact,short_branch_artifact,4,4,29,35,313.25,235.75,0.6071,True
60,artifact,short_branch_artifact,1,1,29,29,321.0,304.0,0.6353,False
61,artifact,short_branch_artifact,1,1,29,29,323.0,299.0,0.6436,False
62,artifact,short_branch_artifact,4,4,29,35,320.75,528.5,0.5993,True
63,artifact,short_branch_artifact,1,1,29,29,329.0,427.0,0.6259,False
64,artifact,short_branch_artifact,3,3,29,35,336.33,307.67,0.5852,True
65,artifact,short_branch_artifact,6,6,29,43,342.33,325.17,0.6027,True
66,artifact,short_branch_artifact,3,3,29,35,370.33,331.33,0.6073,True
67,artifact,short_branch_artifact,4,4,29,35,357.25,570.0,0.636,True
68,artifact,short_branch_artifact,3,3,29,35,355.67,313.33,0.6116,True
69,artifact,short_branch_artifact,2,2,29,32,384.0,406.0,0.6202,False
70,artifact,short_branch_artifact,2,2,29,32,384.0,415.0,0.623,False
71,artifact,short_branch_artifact,1,1,29,29,448.0,419.0,0.623,False
72,artifact,short_branch_artifact,2,2,29,32,450.5,533.5,0.6241,False
73,artifact,short_branch_artifact,1,1,29,29,485.0,350.0,0.6405,False
74,artifact,short_branch_artifact,3,3,29,32,498.0,627.67,0.6089,True
75,artifact,short_branch_artifact,1,1,29,29,538.0,543.0,0.6069,False
76,bifurcation,bifurcation,2,2,29,31,225.0,300.5,0.9832,False
77,bifurcation,bifurcation,1,1,29,29,249.0,374.0,0.8797,False
78,bifurcation,bifurcation,1,1,29,29,255.0,437.0,0.9637,False
79,bifurcation,bifurcation,2,2,29,31,258.5,322.0,0.9546,False
80,bifurcation,bifurcation,3,3,29,32,272.33,320.33,0.9837,True
81,bifurcation,bifurcation,1,1,29,29,327.0,480.0,0.9832,False
82,bifurcation,bifurcation,1,1,29,29,340.0,558.0,0.9359,False
83,bifurcation,bifurcation,1,1,29,29,350.0,518.0,1.0,False
84,bifurcation,bifurcation,2,2,29,32,369.0,303.5,1.0,False
85,bifurcation,bifurcation,1,1,29,29,397.0,281.0,0.889,False
86,crossing_or_overlap,crossing_or_overlap,1,1,29,29,225.0,395.0,0.9176,False
87,crossing_or_overlap,crossing_or_overlap,1,1,29,29,240.0,325.0,0.6964,False
88,crossing_or_overlap,crossing_or_overlap,3,3,29,35,315.67,534.0,0.7641,True
89,artifact,short_branch_artifact,5,5,31,43,231.4,432.6,0.5731,True
90,artifact,short_branch_artifact,2,2,31,32,231.0,370.5,0.5894,False
91,artifact,short_branch_artifact,1,1,31,31,238.0,375.0,0.4965,False
92,artifact,short_branch_artifact,3,3,31,35,233.0,327.0,0.5751,True
93,artifact,short_branch_artifact,2,2,31,35,288.0,320.0,0.6256,False
94,artifact,short_branch_artifact,2,2,31,32,319.5,475.5,0.6131,False
95,artifact,short_branch_artifact,3,3,31,35,319.67,516.67,0.5863,True
96,artifact,short_branch_artifact,3,3,31,37,328.67,507.0,0.6071,True
97,artifact,short_branch_artifact,1,1,31,31,333.0,470.0,0.5871,False
98,artifact,short_branch_artifact,1,1,31,31,348.0,418.0,0.6392,False
99,artifact,short_branch_artifact,6,6,31,43,346.33,604.0,0.6214,True
100,artifact,short_branch_artifact,2,2,31,32,354.5,352.5,0.5828,False
101,artifact,short_branch_artifact,1,1,31,31,389.0,333.0,0.637,False
102,artifact,short_branch_artifact,1,1,31,31,414.0,526.0,0.6115,False
103,artifact,short_branch_artifact,1,1,31,31,423.0,529.0,0.6077,False
104,artifact,short_branch_artifact,3,3,31,35,430.0,549.33,0.6261,True
105,artifact,short_branch_artifact,1,1,31,31,432.0,479.0,0.6223,False
106,artifact,short_branch_artifact,3,3,31,35,448.0,566.0,0.6312,True
107,bifurcation,bifurcation,2,2,31,32,249.5,350.0,0.8685,False
108,bifurcation,bifurcation,2,2,31,32,276.0,221.0,0.8989,False
109,bifurcation,bifurcation,1,1,31,31,314.0,566.0,0.9349,False
110,bifurcation,bifurcation,2,2,31,32,338.0,592.0,0.9978,False
111,bifurcation,bifurcation,1,1,31,31,341.0,320.0,0.8868,False
112,bifurcation,bifurcation,1,1,31,31,349.0,480.0,1.0,False
113,bifurcation,bifurcation,1,1,31,31,427.0,552.0,1.0,False
114,bifurcation,bifurcation,1,1,31,31,429.0,311.0,1.0,False
115,bifurcation,bifurcation,3,3,31,37,455.33,526.33,0.9948,True
116,crossing_or_overlap,crossing_or_overlap,1,1,31,31,222.0,417.0,0.6642,False
117,crossing_or_overlap,crossing_or_overlap,1,1,31,31,234.0,354.0,0.8196,False
118,crossing_or_overlap,crossing_or_overlap,1,1,31,31,249.0,452.0,0.8131,False
119,crossing_or_overlap,crossing_or_overlap,1,1,31,31,308.0,498.0,0.7757,False
120,crossing_or_overlap,crossing_or_overlap,1,1,31,31,335.0,317.0,0.675,False
121,crossing_or_overlap,crossing_or_overlap,2,2,31,32,351.5,549.0,0.8333,False
122,crossing_or_overlap,crossing_or_overlap,1,1,31,31,398.0,531.0,0.6637,False
123,crossing_or_overlap,crossing_or_overlap,1,1,31,31,401.0,428.0,0.706,False
124,uncertain,uncertain_high_order_branch,1,1,31,31,234.0,332.0,0.6955,False
125,uncertain,uncertain_high_order_branch,1,1,31,31,251.0,435.0,0.6676,False
126,uncertain,uncertain_high_order_branch,1,1,31,31,294.0,467.0,0.6483,False
127,uncertain,uncertain_high_order_branch,1,1,31,31,389.0,413.0,0.5632,False
128,artifact,short_branch_artifact,2,2,32,35,216.0,309.0,0.5993,False
129,artifact,short_branch_artifact,6,6,32,47,214.83,424.67,0.5253,True
130,artifact,short_branch_artifact,1,1,32,32,235.0,324.0,0.5964,False
131,artifact,short_branch_artifact,1,1,32,32,249.0,326.0,0.6242,False
132,artifact,short_branch_artifact,1,1,32,32,262.0,326.0,0.5779,False
133,artifact,short_branch_artifact,1,1,32,32,328.0,204.0,0.6361,False
134,artifact,short_branch_artifact,1,1,32,32,331.0,565.0,0.5614,False
135,artifact,short_branch_artifact,1,1,32,32,333.0,222.0,0.6125,False
136,artifact,short_branch_artifact,1,1,32,32,334.0,603.0,0.6102,False
137,artifact,short_branch_artifact,1,1,32,32,336.0,541.0,0.5996,False
138,artifact,short_branch_artifact,1,1,32,32,347.0,544.0,0.614,False
139,artifact,short_branch_artifact,3,3,32,37,352.33,644.33,0.6059,True
140,artifact,short_branch_artifact,2,2,32,35,358.5,612.0,0.6092,False
141,artifact,short_branch_artifact,1,1,32,32,365.0,639.0,0.6139,False
142,artifact,short_branch_artifact,1,1,32,32,379.0,421.0,0.624,False
143,artifact,short_branch_artifact,1,1,32,32,387.0,303.0,0.515,False
144,artifact,short_branch_artifact,1,1,32,32,392.0,526.0,0.5978,False
145,artifact,short_branch_artifact,1,1,32,32,415.0,310.0,0.6055,False
146,artifact,short_branch_artifact,1,1,32,32,430.0,507.0,0.6077,False
147,artifact,short_branch_artifact,1,1,32,32,459.0,577.0,0.6338,False
148,bifurcation,bifurcation,1,1,32,32,243.0,453.0,0.9103,False
149,bifurcation,bifurcation,1,1,32,32,270.0,455.0,0.9832,False
150,bifurcation,bifurcation,1,1,32,32,297.0,500.0,0.9059,False
151,bifurcation,bifurcation,1,1,32,32,299.0,346.0,0.9544,False
152,bifurcation,bifurcation,1,1,32,32,344.0,603.0,1.0,False
153,crossing_or_overlap,crossing_or_overlap,1,1,32,32,657.0,293.0,0.8899,False
154,artifact,short_branch_artifact,2,2,35,37,203.5,283.0,0.6118,False
155,artifact,short_branch_artifact,1,1,35,35,211.0,370.0,0.5592,False
156,artifact,short_branch_artifact,2,2,35,37,220.0,304.0,0.5727,False
157,artifact,short_branch_artifact,1,1,35,35,236.0,306.0,0.6493,False
158,artifact,short_branch_artifact,1,1,35,35,239.0,452.0,0.5873,False
159,artifact,short_branch_artifact,1,1,35,35,241.0,459.0,0.5496,False
160,artifact,short_branch_artifact,2,2,35,37,258.0,200.5,0.536,False
161,artifact,short_branch_artifact,1,1,35,35,266.0,202.0,0.641,False
162,artifact,short_branch_artifact,2,2,35,37,282.0,533.5,0.596,False
163,artifact,short_branch_artifact,2,2,35,37,297.0,292.0,0.6119,False
164,artifact,short_branch_artifact,1,1,35,35,300.0,515.0,0.63,False
165,artifact,short_branch_artifact,2,2,35,37,295.0,538.0,0.5959,False
166,artifact,short_branch_artifact,1,1,35,35,301.0,303.0,0.5486,False
167,artifact,short_branch_artifact,1,1,35,35,302.0,228.0,0.6336,False
168,artifact,short_branch_artifact,1,1,35,35,303.0,215.0,0.6051,False
169,artifact,short_branch_artifact,2,2,35,37,297.5,556.5,0.627,False
170,artifact,short_branch_artifact,2,2,35,37,302.0,536.0,0.6016,False
171,artifact,short_branch_artifact,1,1,35,35,308.0,301.0,0.6177,False
172,artifact,short_branch_artifact,1,1,35,35,311.0,213.0,0.6416,False
173,artifact,short_branch_artifact,1,1,35,35,314.0,542.0,0.6066,False
174,artifact,short_branch_artifact,2,2,35,37,331.0,518.5,0.631,False
175,artifact,short_branch_artifact,2,2,35,37,341.5,295.5,0.6033,False
176,artifact,short_branch_artifact,1,1,35,35,349.0,574.0,0.6425,False
177,artifact,short_branch_artifact,1,1,35,35,352.0,291.0,0.5841,False
178,artifact,short_branch_artifact,1,1,35,35,358.0,618.0,0.6027,False
179,artifact,short_branch_artifact,1,1,35,35,364.0,589.0,0.6345,False
180,artifact,short_branch_artifact,2,2,35,37,368.5,295.0,0.6186,False
181,artifact,short_branch_artifact,1,1,35,35,403.0,267.0,0.5712,False
182,artifact,short_branch_artifact,1,1,35,35,526.0,637.0,0.6354,False
183,artifact,short_branch_artifact,2,2,35,37,529.0,624.0,0.6201,False
184,artifact,short_branch_artifact,1,1,35,35,535.0,499.0,0.6415,False
185,artifact,short_branch_artifact,1,1,35,35,557.0,539.0,0.5923,False
186,artifact,short_branch_artifact,1,1,35,35,665.0,250.0,0.6149,False
187,artifact,short_branch_artifact,1,1,35,35,674.0,253.0,0.6221,False
188,bifurcation,bifurcation,1,1,35,35,251.0,306.0,0.9772,False
189,bifurcation,bifurcation,1,1,35,35,271.0,415.0,0.8729,False
190,bifurcation,bifurcation,1,1,35,35,368.0,657.0,1.0,False
191,bifurcation,bifurcation,1,1,35,35,376.0,386.0,1.0,False
192,bifurcation,bifurcation,1,1,35,35,412.0,400.0,0.9893,False
193,bifurcation,bifurcation,1,1,35,35,464.0,559.0,0.9386,False
194,bifurcation,bifurcation,1,1,35,35,467.0,574.0,0.9349,False
195,crossing_or_overlap,crossing_or_overlap,2,2,35,37,209.5,336.0,0.76,False
196,crossing_or_overlap,crossing_or_overlap,1,1,35,35,218.0,369.0,0.6974,False
197,crossing_or_overlap,crossing_or_overlap,1,1,35,35,340.0,521.0,0.8512,False
198,crossing_or_overlap,crossing_or_overlap,1,1,35,35,505.0,612.0,0.8065,False
199,artifact,short_branch_artifact,1,1,37,37,191.0,256.0,0.6465,False
200,artifact,short_branch_artifact,1,1,37,37,194.0,344.0,0.5927,False
201,artifact,short_branch_artifact,1,1,37,37,199.0,260.0,0.5913,False
202,artifact,short_branch_artifact,1,1,37,37,208.0,271.0,0.6377,False
203,artifact,short_branch_artifact,1,1,37,37,209.0,278.0,0.6033,False
204,artifact,short_branch_artifact,2,2,37,41,216.0,411.0,0.531,False
205,artifact,short_branch_artifact,1,1,37,37,219.0,280.0,0.622,False
206,artifact,short_branch_artifact,3,3,37,43,212.33,394.33,0.6026,True
207,artifact,short_branch_artifact,1,1,37,37,223.0,287.0,0.6237,False
208,artifact,short_branch_artifact,1,1,37,37,226.0,280.0,0.6141,False
209,artifact,short_branch_artifact,1,1,37,37,230.0,399.0,0.5696,False
210,artifact,short_branch_artifact,4,4,37,47,236.25,423.75,0.5488,True
211,artifact,short_branch_artifact,4,4,37,47,228.25,427.5,0.5889,True
212,artifact,short_branch_artifact,1,1,37,37,248.0,408.0,0.6332,False
213,artifact,short_branch_artifact,1,1,37,37,254.0,172.0,0.6176,False
214,artifact,short_branch_artifact,1,1,37,37,263.0,278.0,0.6344,False
215,artifact,short_branch_artifact,1,1,37,37,265.0,272.0,0.6058,False
216,artifact,short_branch_artifact,3,3,37,43,270.33,468.67,0.5938,True
217,artifact,short_branch_artifact,1,1,37,37,291.0,279.0,0.6063,False
218,artifact,short_branch_artifact,1,1,37,37,293.0,188.0,0.5765,False
219,artifact,short_branch_artifact,1,1,37,37,298.0,276.0,0.6394,False
220,artifact,short_branch_artifact,1,1,37,37,310.0,277.0,0.581,False
221,artifact,short_branch_artifact,2,2,37,41,313.5,478.0,0.631,False
222,artifact,short_branch_artifact,1,1,37,37,344.0,269.0,0.594,False
223,artifact,short_branch_artifact,1,1,37,37,348.0,650.0,0.644,False
224,artifact,short_branch_artifact,1,1,37,37,351.0,272.0,0.6149,False
225,artifact,short_branch_artifact,3,3,37,43,353.33,651.67,0.6332,True
226,artifact,short_branch_artifact,1,1,37,37,360.0,390.0,0.6343,False
227,artifact,short_branch_artifact,2,2,37,41,364.0,646.5,0.6353,False
228,artifact,short_branch_artifact,1,1,37,37,407.0,385.0,0.624,False
229,artifact,short_branch_artifact,1,1,37,37,456.0,549.0,0.621,False
230,artifact,short_branch_artifact,1,1,37,37,486.0,528.0,0.5831,False
231,artifact,short_branch_artifact,1,1,37,37,527.0,615.0,0.5778,False
232,bifurcation,bifurcation,1,1,37,37,235.0,282.0,0.846,False
233,bifurcation,bifurcation,1,1,37,37,298.0,499.0,0.9204,False
234,bifurcation,bifurcation,2,2,37,41,300.0,565.5,0.9798,False
235,bifurcation,bifurcation,1,1,37,37,353.0,366.0,1.0,False
236,crossing_or_overlap,crossing_or_overlap,1,1,37,37,202.0,305.0,0.86,False
237,crossing_or_overlap,crossing_or_overlap,1,1,37,37,205.0,265.0,0.7332,False
238,crossing_or_overlap,crossing_or_overlap,1,1,37,37,220.0,425.0,0.6742,False
239,crossing_or_overlap,crossing_or_overlap,1,1,37,37,310.0,293.0,0.682,False
240,crossing_or_overlap,crossing_or_overlap,1,1,37,37,332.0,571.0,0.915,False
241,crossing_or_overlap,crossing_or_overlap,1,1,37,37,383.0,672.0,0.8769,False
242,artifact,short_branch_artifact,2,2,41,43,213.5,385.0,0.564,False
243,artifact,short_branch_artifact,2,2,41,43,217.5,349.0,0.5384,False
244,artifact,short_branch_artifact,2,2,41,43,220.0,352.5,0.6229,False
