track_id,stable,broad_type,name,frame_id,frame_num,node_id,pixel_r,pixel_c,node_type,confidence
1,False,bifurcation,p0001_00000001_f0013_1,f0013,13,0,153.0,254.0,bifurcation,0.9017
2,False,artifact,p0001_00000001_f0016_1,f0016,16,9,188.0,317.0,short_branch_artifact,0.6189
3,False,artifact,p0001_00000001_f0016_1,f0016,16,22,228.0,183.0,short_branch_artifact,0.6095
4,True,artifact,p0001_00000001_f0016_1,f0016,16,33,262.0,202.0,short_branch_artifact,0.6345
4,True,artifact,p0001_00000001_f0018_1,f0018,18,34,247.0,211.0,short_branch_artifact,0.6248
4,True,artifact,p0001_00000001_f0021_1,f0021,21,31,262.0,215.0,short_branch_artifact,0.6436
4,True,artifact,p0001_00000001_f0022_1,f0022,22,54,263.0,207.0,short_branch_artifact,0.6071
5,False,bifurcation,p0001_00000001_f0016_1,f0016,16,0,176.0,272.0,bifurcation,0.9342
6,False,bifurcation,p0001_00000001_f0016_1,f0016,16,10,188.0,347.0,bifurcation,0.9484
7,False,artifact,p0001_00000001_f0018_1,f0018,18,29,235.0,463.0,short_branch_artifact,0.6248
7,False,artifact,p0001_00000001_f0022_1,f0022,22,34,230.0,464.0,short_branch_artifact,0.545
8,False,artifact,p0001_00000001_f0018_1,f0018,18,50,288.0,230.0,short_branch_artifact,0.6213
8,False,artifact,p0001_00000001_f0021_1,f0021,21,45,302.0,236.0,short_branch_artifact,0.6302
9,True,bifurcation,p0001_00000001_f0018_1,f0018,18,2,195.0,297.0,bifurcation,0.9874
9,True,bifurcation,p0001_00000001_f0021_1,f0021,21,3,198.0,296.0,bifurcation,0.9725
9,True,bifurcation,p0001_00000001_f0022_1,f0022,22,2,199.0,283.0,bifurcation,0.9661
10,False,bifurcation,p0001_00000001_f0018_1,f0018,18,8,204.0,369.0,bifurcation,0.9983
11,False,bifurcation,p0001_00000001_f0018_1,f0018,18,22,224.0,321.0,bifurcation,0.9389
11,False,bifurcation,p0001_00000001_f0021_1,f0021,21,22,228.0,320.0,bifurcation,0.978
12,False,artifact,p0001_00000001_f0021_1,f0021,21,7,196.0,388.0,short_branch_artifact,0.613
13,False,artifact,p0001_00000001_f0021_1,f0021,21,6,199.0,344.0,short_branch_artifact,0.5547
14,False,artifact,p0001_00000001_f0021_1,f0021,21,9,203.0,382.0,short_branch_artifact,0.5857
14,False,artifact,p0001_00000001_f0022_1,f0022,22,4,201.0,377.0,short_branch_artifact,0.5682
15,False,artifact,p0001_00000001_f0021_1,f0021,21,8,204.0,323.0,short_branch_artifact,0.5852
15,False,artifact,p0001_00000001_f0022_1,f0022,22,7,204.0,332.0,short_branch_artifact,0.5674
16,False,artifact,p0001_00000001_f0021_1,f0021,21,11,206.0,369.0,short_branch_artifact,0.6004
16,False,artifact,p0001_00000001_f0022_1,f0022,22,10,208.0,369.0,short_branch_artifact,0.5784
17,False,artifact,p0001_00000001_f0021_1,f0021,21,17,225.0,341.0,short_branch_artifact,0.6016
17,False,artifact,p0001_00000001_f0022_1,f0022,22,18,216.0,328.0,short_branch_artifact,0.6437
18,False,artifact,p0001_00000001_f0021_1,f0021,21,38,274.0,321.0,short_branch_artifact,0.6367
18,False,artifact,p0001_00000001_f0022_1,f0022,22,64,281.0,314.0,short_branch_artifact,0.6386
19,False,artifact,p0001_00000001_f0021_1,f0021,21,58,341.0,394.0,short_branch_artifact,0.6362
20,False,bifurcation,p0001_00000001_f0021_1,f0021,21,28,242.0,319.0,bifurcation,0.9914
21,False,crossing_or_overlap,p0001_00000001_f0021_1,f0021,21,15,215.0,319.0,crossing_or_overlap,0.6662
22,False,uncertain,p0001_00000001_f0021_1,f0021,21,10,212.0,336.0,uncertain_complex_junction,0.6456
23,False,artifact,p0001_00000001_f0022_1,f0022,22,9,206.0,321.0,short_branch_artifact,0.6421
24,False,artifact,p0001_00000001_f0022_1,f0022,22,15,216.0,367.0,short_branch_artifact,0.45
25,False,artifact,p0001_00000001_f0022_1,f0022,22,16,216.0,423.0,short_branch_artifact,0.5894
26,False,artifact,p0001_00000001_f0022_1,f0022,22,23,222.0,311.0,short_branch_artifact,0.6015
27,False,artifact,p0001_00000001_f0022_1,f0022,22,21,222.0,332.0,short_branch_artifact,0.5522
28,False,artifact,p0001_00000001_f0022_1,f0022,22,24,222.0,377.0,short_branch_artifact,0.5745
29,False,artifact,p0001_00000001_f0022_1,f0022,22,19,222.0,442.0,short_branch_artifact,0.45
30,False,artifact,p0001_00000001_f0022_1,f0022,22,28,226.0,419.0,short_branch_artifact,0.639
31,False,artifact,p0001_00000001_f0022_1,f0022,22,30,228.0,309.0,short_branch_artifact,0.6222
32,False,artifact,p0001_00000001_f0022_1,f0022,22,43,244.0,313.0,short_branch_artifact,0.5834
33,False,artifact,p0001_00000001_f0022_1,f0022,22,53,259.0,423.0,short_branch_artifact,0.5771
34,False,artifact,p0001_00000001_f0022_1,f0022,22,85,358.0,378.0,short_branch_artifact,0.6308
35,False,artifact,p0001_00000001_f0022_1,f0022,22,88,363.0,302.0,short_branch_artifact,0.6273
36,False,artifact,p0001_00000001_f0022_1,f0022,22,98,379.0,313.0,short_branch_artifact,0.6272
37,False,bifurcation,p0001_00000001_f0022_1,f0022,22,70,305.0,226.0,bifurcation,0.8668
38,False,bifurcation,p0001_00000001_f0022_1,f0022,22,75,329.0,318.0,bifurcation,1.0
39,True,artifact,p0001_00000001_f0029_1,f0029,29,8,225.0,401.0,short_branch_artifact,0.574
39,True,artifact,p0001_00000001_f0031_1,f0031,31,6,220.0,396.0,short_branch_artifact,0.6105
39,True,artifact,p0001_00000001_f0032_1,f0032,32,6,218.0,393.0,short_branch_artifact,0.5878
40,True,artifact,p0001_00000001_f0029_1,f0029,29,6,229.0,382.0,short_branch_artifact,0.5787
40,True,artifact,p0001_00000001_f0031_1,f0031,31,5,221.0,390.0,short_branch_artifact,0.5748
40,True,artifact,p0001_00000001_f0032_1,f0032,32,11,225.0,385.0,short_branch_artifact,0.5977
41,True,artifact,p0001_00000001_f0029_1,f0029,29,10,232.0,344.0,short_branch_artifact,0.544
41,True,artifact,p0001_00000001_f0031_1,f0031,31,4,218.0,349.0,short_branch_artifact,0.6236
41,True,artifact,p0001_00000001_f0032_1,f0032,32,12,228.0,349.0,short_branch_artifact,0.5367
42,False,artifact,p0001_00000001_f0029_1,f0029,29,17,236.0,367.0,short_branch_artifact,0.5734
42,False,artifact,p0001_00000001_f0031_1,f0031,31,10,228.0,379.0,short_branch_artifact,0.598
43,True,artifact,p0001_00000001_f0029_1,f0029,29,20,239.0,344.0,short_branch_artifact,0.5982
43,True,artifact,p0001_00000001_f0031_1,f0031,31,16,237.0,342.0,short_branch_artifact,0.5503
43,True,artifact,p0001_00000001_f0032_1,f0032,32,18,231.0,352.0,short_branch_artifact,0.6411
44,False,artifact,p0001_00000001_f0029_1,f0029,29,29,252.0,448.0,short_branch_artifact,0.5198
45,True,artifact,p0001_00000001_f0029_1,f0029,29,33,254.0,423.0,short_branch_artifact,0.6059
45,True,artifact,p0001_00000001_f0032_1,f0032,32,25,245.0,426.0,short_branch_artifact,0.6149
45,True,artifact,p0001_00000001_f0035_1,f0035,35,26,234.0,428.0,short_branch_artifact,0.5333
45,True,artifact,p0001_00000001_f0037_1,f0037,37,30,219.0,436.0,short_branch_artifact,0.5371
46,False,artifact,p0001_00000001_f0029_1,f0029,29,31,254.0,456.0,short_branch_artifact,0.5155
47,False,artifact,p0001_00000001_f0029_1,f0029,29,30,255.0,345.0,short_branch_artifact,0.5712
48,False,artifact,p0001_00000001_f0029_1,f0029,29,37,258.0,422.0,short_branch_artifact,0.6256
49,False,artifact,p0001_00000001_f0029_1,f0029,29,39,260.0,468.0,short_branch_artifact,0.5862
50,False,artifact,p0001_00000001_f0029_1,f0029,29,42,261.0,455.0,short_branch_artifact,0.5885
51,False,artifact,p0001_00000001_f0029_1,f0029,29,47,272.0,208.0,short_branch_artifact,0.6412
52,False,artifact,p0001_00000001_f0029_1,f0029,29,56,283.0,458.0,short_branch_artifact,0.6369
53,False,artifact,p0001_00000001_f0029_1,f0029,29,59,287.0,462.0,short_branch_artifact,0.533
54,True,artifact,p0001_00000001_f0029_1,f0029,29,66,296.0,312.0,short_branch_artifact,0.6042
54,True,artifact,p0001_00000001_f0031_1,f0031,31,58,283.0,319.0,short_branch_artifact,0.6327
54,True,artifact,p0001_00000001_f0035_1,f0035,35,60,288.0,305.0,short_branch_artifact,0.5928
55,True,artifact,p0001_00000001_f0029_1,f0029,29,68,303.0,313.0,short_branch_artifact,0.5843
55,True,artifact,p0001_00000001_f0032_1,f0032,32,75,313.0,319.0,short_branch_artifact,0.5932
55,True,artifact,p0001_00000001_f0035_1,f0035,35,77,301.0,310.0,short_branch_artifact,0.6219
56,True,artifact,p0001_00000001_f0029_1,f0029,29,76,308.0,492.0,short_branch_artifact,0.6298
56,True,artifact,p0001_00000001_f0031_1,f0031,31,78,302.0,493.0,short_branch_artifact,0.5982
56,True,artifact,p0001_00000001_f0035_1,f0035,35,68,295.0,491.0,short_branch_artifact,0.578
57,True,artifact,p0001_00000001_f0029_1,f0029,29,78,310.0,480.0,short_branch_artifact,0.5342
57,True,artifact,p0001_00000001_f0031_1,f0031,31,70,295.0,476.0,short_branch_artifact,0.6229
57,True,artifact,p0001_00000001_f0035_1,f0035,35,72,297.0,482.0,short_branch_artifact,0.5896
58,True,artifact,p0001_00000001_f0029_1,f0029,29,84,311.0,311.0,short_branch_artifact,0.6308
58,True,artifact,p0001_00000001_f0031_1,f0031,31,109,324.0,322.0,short_branch_artifact,0.6391
58,True,artifact,p0001_00000001_f0032_1,f0032,32,72,311.0,327.0,short_branch_artifact,0.5587
58,True,artifact,p0001_00000001_f0035_1,f0035,35,102,327.0,326.0,short_branch_artifact,0.5932
