track_id,stable,broad_type,name,frame_id,frame_num,node_id,pixel_r,pixel_c,node_type,confidence
1,True,artifact,p0004_00000003_f0002_3,f0002,2,2,178.0,172.0,short_branch_artifact,0.6251
1,True,artifact,p0004_00000003_f0003_3,f0003,3,2,175.0,172.0,short_branch_artifact,0.621
1,True,artifact,p0004_00000003_f0004_3,f0004,4,12,176.0,171.0,short_branch_artifact,0.611
1,True,artifact,p0004_00000003_f0006_3,f0006,6,7,172.0,177.0,short_branch_artifact,0.621
1,True,artifact,p0004_00000003_f0007_3,f0007,7,12,174.0,181.0,short_branch_artifact,0.6125
1,True,artifact,p0004_00000003_f0008_3,f0008,8,10,175.0,189.0,short_branch_artifact,0.6102
1,True,artifact,p0004_00000003_f0009_3,f0009,9,4,184.0,196.0,short_branch_artifact,0.5895
1,True,artifact,p0004_00000003_f0010_3,f0010,10,7,194.0,199.0,short_branch_artifact,0.6079
1,True,artifact,p0004_00000003_f0011_3,f0011,11,9,203.0,205.0,short_branch_artifact,0.6252
1,True,artifact,p0004_00000003_f0013_3,f0013,13,8,216.0,204.0,short_branch_artifact,0.6293
1,True,artifact,p0004_00000003_f0014_3,f0014,14,6,215.0,218.0,short_branch_artifact,0.5796
1,True,artifact,p0004_00000003_f0016_3,f0016,16,5,206.0,225.0,short_branch_artifact,0.634
1,True,artifact,p0004_00000003_f0017_3,f0017,17,8,209.0,209.0,short_branch_artifact,0.6005
1,True,artifact,p0004_00000003_f0018_3,f0018,18,4,207.0,205.0,short_branch_artifact,0.5803
1,True,artifact,p0004_00000003_f0019_3,f0019,19,3,210.0,218.0,short_branch_artifact,0.5941
2,True,bifurcation,p0004_00000003_f0003_3,f0003,3,11,250.0,260.0,bifurcation,0.8405
2,True,bifurcation,p0004_00000003_f0006_3,f0006,6,33,255.0,246.0,bifurcation,0.9765
2,True,bifurcation,p0004_00000003_f0007_3,f0007,7,35,255.0,238.0,bifurcation,0.9524
2,True,bifurcation,p0004_00000003_f0008_3,f0008,8,35,250.0,243.0,bifurcation,0.9536
3,False,artifact,p0004_00000003_f0004_3,f0004,4,5,162.0,196.0,short_branch_artifact,0.5631
3,False,artifact,p0004_00000003_f0006_3,f0006,6,3,167.0,187.0,short_branch_artifact,0.5561
4,True,artifact,p0004_00000003_f0004_3,f0004,4,22,252.0,262.0,short_branch_artifact,0.5944
4,True,artifact,p0004_00000003_f0005_3,f0005,5,23,254.0,264.0,short_branch_artifact,0.6087
4,True,artifact,p0004_00000003_f0009_3,f0009,9,18,258.0,258.0,short_branch_artifact,0.6049
5,False,bifurcation,p0004_00000003_f0005_3,f0005,5,1,159.0,207.0,bifurcation,0.9091
5,False,bifurcation,p0004_00000003_f0009_3,f0009,9,2,175.0,214.0,bifurcation,0.91
6,False,bifurcation,p0004_00000003_f0005_3,f0005,5,4,168.0,190.0,bifurcation,0.9808
7,True,bifurcation,p0004_00000003_f0005_3,f0005,5,6,177.0,174.0,bifurcation,1.0
7,True,bifurcation,p0004_00000003_f0009_3,f0009,9,6,188.0,176.0,bifurcation,0.9379
7,True,bifurcation,p0004_00000003_f0010_3,f0010,10,8,198.0,184.0,bifurcation,0.9831
8,True,artifact,p0004_00000003_f0006_3,f0006,6,10,181.0,166.0,short_branch_artifact,0.6413
8,True,artifact,p0004_00000003_f0007_3,f0007,7,15,180.0,166.0,short_branch_artifact,0.6388
8,True,artifact,p0004_00000003_f0008_3,f0008,8,11,181.0,173.0,short_branch_artifact,0.6385
9,False,artifact,p0004_00000003_f0007_3,f0007,7,8,162.0,215.0,short_branch_artifact,0.6349
