name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0004_00000003_f0001_6,1,0,0,0,0,0
p0004_00000003_f0002_6,2,0,0,0,0,0
p0004_00000003_f0003_6,3,0,0,2,0,0
p0004_00000003_f0004_6,4,1,0,1,0,0
p0004_00000003_f0005_6,5,0,0,4,0,0
p0004_00000003_f0006_6,6,0,0,4,0,0
p0004_00000003_f0007_6,7,1,0,4,0,1
p0004_00000003_f0008_6,8,1,0,5,0,1
p0004_00000003_f0009_6,9,4,0,3,0,1
p0004_00000003_f0010_6,10,3,0,4,0,1
p0004_00000003_f0011_6,11,3,0,9,0,2
p0004_00000003_f0012_6,12,2,0,12,0,2
p0004_00000003_f0013_6,13,1,2,11,0,1
p0004_00000003_f0014_6,14,2,0,12,0,0
p0004_00000003_f0015_6,15,2,0,6,0,1
p0004_00000003_f0016_6,16,3,0,6,1,0
p0004_00000003_f0017_6,17,4,0,12,0,2
p0004_00000003_f0018_6,18,1,0,9,0,0
p0004_00000003_f0019_6,19,0,1,8,0,0
p0004_00000003_f0020_6,20,1,0,14,0,0
p0004_00000003_f0021_6,21,5,1,20,0,2
p0004_00000003_f0022_6,22,2,0,17,0,0
p0004_00000003_f0023_6,23,2,0,12,0,1
p0004_00000003_f0024_6,24,4,2,14,0,1
p0004_00000003_f0025_6,25,4,1,17,0,1
p0004_00000003_f0026_6,26,4,0,20,0,1
p0004_00000003_f0027_6,27,8,0,9,0,1
