track_id,stable,broad_type,name,frame_id,frame_num,node_id,pixel_r,pixel_c,node_type,confidence
1,False,bifurcation,p0006_00000002_f0015_5,f0015,15,3,139.0,393.0,bifurcation,0.8732
1,False,bifurcation,p0006_00000002_f0018_5,f0018,18,4,136.0,402.0,bifurcation,0.9737
2,False,bifurcation,p0006_00000002_f0016_5,f0016,16,1,127.0,375.0,bifurcation,0.9325
3,False,artifact,p0006_00000002_f0017_5,f0017,17,2,127.0,384.0,short_branch_artifact,0.5575
4,False,artifact,p0006_00000002_f0019_5,f0019,19,12,164.0,342.0,short_branch_artifact,0.6174
5,False,artifact,p0006_00000002_f0019_5,f0019,19,16,172.0,449.0,short_branch_artifact,0.6025
6,False,artifact,p0006_00000002_f0020_5,f0020,20,12,177.0,239.0,short_branch_artifact,0.57
7,True,artifact,p0006_00000002_f0020_5,f0020,20,16,181.0,372.0,short_branch_artifact,0.596
7,True,artifact,p0006_00000002_f0023_5,f0023,23,13,193.0,375.0,short_branch_artifact,0.45
7,True,artifact,p0006_00000002_f0025_5,f0025,25,34,184.0,388.0,short_branch_artifact,0.4584
8,False,artifact,p0006_00000002_f0020_5,f0020,20,22,187.0,233.0,short_branch_artifact,0.599
9,False,bifurcation,p0006_00000002_f0020_5,f0020,20,25,196.0,462.0,bifurcation,0.9065
10,False,artifact,p0006_00000002_f0021_5,f0021,21,11,183.0,259.0,short_branch_artifact,0.5902
10,False,artifact,p0006_00000002_f0022_5,f0022,22,14,186.0,265.0,short_branch_artifact,0.6122
11,False,artifact,p0006_00000002_f0021_5,f0021,21,21,227.0,489.0,short_branch_artifact,0.6102
11,False,artifact,p0006_00000002_f0024_5,f0024,24,29,219.0,499.0,short_branch_artifact,0.6072
12,False,bifurcation,p0006_00000002_f0021_5,f0021,21,16,195.0,392.0,bifurcation,0.9568
13,True,artifact,p0006_00000002_f0022_5,f0022,22,15,188.0,392.0,short_branch_artifact,0.5598
13,True,artifact,p0006_00000002_f0023_5,f0023,23,11,184.0,389.0,short_branch_artifact,0.5802
13,True,artifact,p0006_00000002_f0024_5,f0024,24,14,178.0,378.0,short_branch_artifact,0.5868
13,True,artifact,p0006_00000002_f0025_5,f0025,25,29,177.0,361.0,short_branch_artifact,0.5806
13,True,artifact,p0006_00000002_f0026_5,f0026,26,29,179.0,355.0,short_branch_artifact,0.5986
13,True,artifact,p0006_00000002_f0027_5,f0027,27,37,170.0,349.0,short_branch_artifact,0.5965
