name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0001_00000001_f0013_1,13,1,0,0,0,0
p0001_00000001_f0016_1,16,2,0,3,0,0
p0001_00000001_f0018_1,18,3,0,3,0,1
p0001_00000001_f0021_1,21,3,1,10,1,1
p0001_00000001_f0022_1,22,3,0,21,0,1
p0001_00000001_f0029_1,29,10,3,37,0,1
p0001_00000001_f0031_1,31,12,8,33,4,2
p0001_00000001_f0032_1,32,10,3,44,0,1
p0001_00000001_f0035_1,35,8,5,59,0,1
p0001_00000001_f0037_1,37,5,7,52,0,1
p0001_00000001_f0041_1,41,10,3,53,2,1
p0001_00000001_f0043_1,43,13,2,58,0,1
p0001_00000001_f0047_1,47,10,9,60,1,1
