track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,artifact,short_branch_artifact,1,1,11,11,181.0,396.0,0.5935,False
2,artifact,short_branch_artifact,1,1,11,11,185.0,261.0,0.6027,False
3,artifact,short_branch_artifact,1,1,11,11,188.0,401.0,0.5996,False
4,artifact,short_branch_artifact,1,1,11,11,208.0,379.0,0.6386,False
5,artifact,short_branch_artifact,1,1,11,11,208.0,392.0,0.6188,False
6,artifact,short_branch_artifact,1,1,11,11,210.0,373.0,0.5986,False
7,artifact,short_branch_artifact,1,1,11,11,220.0,412.0,0.6484,False
8,artifact,short_branch_artifact,1,1,11,11,225.0,397.0,0.6404,False
9,artifact,short_branch_artifact,1,1,11,11,236.0,307.0,0.5969,False
10,artifact,short_branch_artifact,1,1,11,11,237.0,291.0,0.6119,False
11,artifact,short_branch_artifact,1,1,11,11,237.0,366.0,0.5969,False
12,artifact,short_branch_artifact,1,1,11,11,238.0,286.0,0.6236,False
13,artifact,short_branch_artifact,1,1,11,11,238.0,386.0,0.6333,False
14,artifact,short_branch_artifact,1,1,11,11,239.0,280.0,0.6421,False
15,artifact,short_branch_artifact,1,1,11,11,249.0,297.0,0.6049,False
16,bifurcation,bifurcation,1,1,11,11,234.0,418.0,0.9304,False
17,bifurcation,bifurcation,1,1,11,11,242.0,231.0,1.0,False
18,artifact,short_branch_artifact,1,1,19,19,350.0,235.0,0.629,False
19,artifact,short_branch_artifact,1,1,19,19,352.0,229.0,0.5974,False
20,artifact,short_branch_artifact,1,1,19,19,370.0,216.0,0.634,False
21,artifact,short_branch_artifact,1,1,19,19,426.0,217.0,0.6119,False
22,artifact,short_branch_artifact,1,1,21,21,165.0,291.0,0.6257,False
23,artifact,short_branch_artifact,1,1,21,21,243.0,257.0,0.6198,False
24,artifact,short_branch_artifact,1,1,21,21,243.0,320.0,0.5334,False
25,artifact,short_branch_artifact,1,1,21,21,248.0,303.0,0.5763,False
26,artifact,short_branch_artifact,1,1,21,21,255.0,281.0,0.6086,False
27,artifact,short_branch_artifact,1,1,21,21,255.0,286.0,0.5944,False
28,artifact,short_branch_artifact,1,1,21,21,265.0,245.0,0.5646,False
29,artifact,short_branch_artifact,1,1,21,21,274.0,285.0,0.6481,False
30,artifact,short_branch_artifact,1,1,21,21,349.0,201.0,0.6139,False
31,artifact,short_branch_artifact,1,1,21,21,362.0,188.0,0.6358,False
32,artifact,short_branch_artifact,1,1,21,21,413.0,191.0,0.6029,False
33,bifurcation,bifurcation,1,1,21,21,230.0,289.0,0.9617,False
34,crossing_or_overlap,crossing_or_overlap,1,1,21,21,258.0,268.0,0.8161,False
35,artifact,short_branch_artifact,1,1,26,26,374.0,193.0,0.6399,False
36,artifact,short_branch_artifact,1,1,26,26,377.0,188.0,0.5973,False
37,artifact,short_branch_artifact,1,1,26,26,395.0,174.0,0.6243,False
38,artifact,short_branch_artifact,1,1,26,26,441.0,173.0,0.5285,False
39,artifact,short_branch_artifact,1,1,29,29,383.0,251.0,0.5952,False
40,artifact,short_branch_artifact,2,2,29,31,394.0,249.0,0.6072,False
41,artifact,short_branch_artifact,2,2,29,31,397.0,241.0,0.6115,False
42,artifact,short_branch_artifact,2,2,29,31,406.0,238.5,0.623,False
43,artifact,short_branch_artifact,2,2,29,31,414.0,227.0,0.6368,False
44,artifact,short_branch_artifact,2,2,29,31,489.5,227.0,0.6002,False
45,crossing_or_overlap,crossing_or_overlap,1,1,29,29,395.0,256.0,0.7335,False
46,artifact,short_branch_artifact,4,4,31,37,199.25,281.75,0.632,True
47,artifact,short_branch_artifact,1,1,31,31,203.0,296.0,0.6334,False
48,artifact,short_branch_artifact,1,1,31,31,215.0,313.0,0.6443,False
49,artifact,short_branch_artifact,1,1,31,31,216.0,307.0,0.6162,False
