name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0004_00000003_f0001_3,1,0,0,0,0,0
p0004_00000003_f0002_3,2,0,0,1,0,0
p0004_00000003_f0003_3,3,1,0,1,0,1
p0004_00000003_f0004_3,4,0,0,3,0,0
p0004_00000003_f0005_3,5,3,0,1,0,1
p0004_00000003_f0006_3,6,1,0,3,0,1
p0004_00000003_f0007_3,7,1,0,4,0,1
p0004_00000003_f0008_3,8,1,0,4,0,1
p0004_00000003_f0009_3,9,2,0,2,0,1
p0004_00000003_f0010_3,10,2,0,2,0,1
p0004_00000003_f0011_3,11,0,0,4,0,0
p0004_00000003_f0012_3,12,3,0,1,0,2
p0004_00000003_f0013_3,13,3,0,1,0,1
p0004_00000003_f0014_3,14,1,0,4,0,0
p0004_00000003_f0015_3,15,1,0,3,0,1
p0004_00000003_f0016_3,16,3,0,2,0,2
p0004_00000003_f0017_3,17,2,0,3,0,2
p0004_00000003_f0018_3,18,2,0,8,0,2
p0004_00000003_f0019_3,19,1,0,9,0,1
p0004_00000003_f0020_3,20,4,0,11,0,2
p0004_00000003_f0021_3,21,2,0,8,1,1
p0004_00000003_f0022_3,22,2,0,9,0,2
p0004_00000003_f0023_3,23,6,0,6,0,4
p0004_00000003_f0024_3,24,4,1,2,0,2
p0004_00000003_f0025_3,25,5,1,5,0,2
p0004_00000003_f0026_3,26,3,0,13,0,1
p0004_00000003_f0027_3,27,2,1,9,0,1
p0004_00000003_f0028_3,28,2,0,11,0,2
p0004_00000003_f0029_3,29,4,1,10,0,3
p0004_00000003_f0030_3,30,2,0,6,0,2
p0004_00000003_f0031_3,31,2,0,9,0,0
p0004_00000003_f0032_3,32,3,0,8,0,3
p0004_00000003_f0033_3,33,3,0,7,0,2
p0004_00000003_f0034_3,34,3,1,4,0,2
p0004_00000003_f0035_3,35,2,0,7,0,2
p0004_00000003_f0036_3,36,3,0,5,1,2
p0004_00000003_f0037_3,37,3,0,7,0,3
p0004_00000003_f0038_3,38,5,0,4,0,4
p0004_00000003_f0039_3,39,4,0,5,0,4
p0004_00000003_f0040_3,40,4,0,9,0,3
p0004_00000003_f0041_3,41,4,0,8,0,4
p0004_00000003_f0042_3,42,4,0,12,0,3
p0004_00000003_f0043_3,43,2,0,11,0,2
p0004_00000003_f0044_3,44,2,1,9,0,1
p0004_00000003_f0045_3,45,1,0,11,0,0
p0004_00000003_f0046_3,46,2,1,13,0,1
p0004_00000003_f0047_3,47,3,0,10,0,1
p0004_00000003_f0048_3,48,4,0,10,0,3
p0004_00000003_f0049_3,49,4,0,10,0,3
p0004_00000003_f0050_3,50,4,0,8,0,3
