track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,artifact,short_branch_artifact,3,3,4,6,128.67,183.67,0.6239,True
2,artifact,short_branch_artifact,1,1,5,5,218.0,266.0,0.597,False
3,artifact,short_branch_artifact,2,2,6,9,108.5,248.5,0.6165,False
4,bifurcation,bifurcation,1,1,6,6,217.0,278.0,0.9834,False
5,artifact,short_branch_artifact,9,9,7,15,200.0,275.0,0.6146,True
6,bifurcation,bifurcation,3,3,7,10,104.67,254.33,0.9137,True
7,bifurcation,bifurcation,6,6,7,13,110.83,204.67,0.9919,True
8,artifact,short_branch_artifact,1,1,8,8,116.0,212.0,0.5948,False
9,bifurcation,bifurcation,1,1,10,10,100.0,254.0,0.967,False
10,artifact,short_branch_artifact,1,1,11,11,349.0,171.0,0.6444,False
11,bifurcation,bifurcation,4,4,11,14,72.0,285.25,0.9929,True
12,bifurcation,bifurcation,1,1,11,11,97.0,233.0,0.9747,False
13,artifact,short_branch_artifact,3,3,12,14,84.67,232.67,0.6153,True
14,bifurcation,bifurcation,5,5,12,16,337.0,167.2,0.9992,True
15,artifact,short_branch_artifact,2,2,13,15,244.5,383.5,0.5907,False
16,artifact,short_branch_artifact,2,2,14,15,107.5,185.0,0.606,False
17,artifact,short_branch_artifact,2,2,14,15,306.5,236.0,0.6315,False
18,bifurcation,bifurcation,4,4,14,19,233.75,408.25,0.9833,True
19,bifurcation,bifurcation,4,4,14,21,239.75,376.0,0.9709,True
20,artifact,short_branch_artifact,1,1,16,16,97.0,169.0,0.5727,False
21,artifact,short_branch_artifact,3,3,16,20,175.33,255.0,0.6185,True
22,artifact,short_branch_artifact,2,2,16,18,232.5,402.0,0.6202,False
23,artifact,short_branch_artifact,4,4,16,19,294.75,216.25,0.618,True
24,artifact,short_branch_artifact,3,3,17,19,322.0,163.0,0.64,True
25,artifact,short_branch_artifact,1,1,17,17,335.0,152.0,0.5966,False
26,artifact,short_branch_artifact,1,1,17,17,339.0,145.0,0.6059,False
27,bifurcation,bifurcation,2,2,17,18,170.0,241.5,1.0,False
28,crossing_or_overlap,crossing_or_overlap,1,1,17,17,353.0,158.0,0.7082,False
29,artifact,short_branch_artifact,1,1,18,18,227.0,417.0,0.6128,False
30,artifact,short_branch_artifact,6,6,18,27,226.5,374.83,0.5954,True
31,artifact,short_branch_artifact,1,1,18,18,238.0,423.0,0.5998,False
32,bifurcation,bifurcation,8,8,20,27,323.38,189.25,0.9702,True
33,bifurcation,bifurcation,2,2,21,25,177.5,277.5,0.9683,False
34,artifact,short_branch_artifact,3,3,22,24,178.0,286.33,0.6163,True
35,artifact,short_branch_artifact,4,4,24,27,211.25,415.0,0.6209,True
36,bifurcation,bifurcation,4,4,24,27,86.25,197.75,0.9599,True
37,bifurcation,bifurcation,1,1,25,25,217.0,392.0,0.9256,False
38,artifact,short_branch_artifact,1,1,26,26,178.0,264.0,0.6305,False
39,bifurcation,bifurcation,1,1,27,27,173.0,260.0,0.9728,False
