track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,artifact,short_branch_artifact,4,4,26,29,134.75,348.75,0.6115,True
2,artifact,short_branch_artifact,2,2,26,27,156.5,345.5,0.5554,False
3,bifurcation,bifurcation,3,3,26,28,140.67,377.67,0.9162,True
4,bifurcation,bifurcation,5,5,27,32,132.0,421.4,0.9168,True
5,artifact,short_branch_artifact,2,2,28,29,134.0,397.5,0.572,False
6,artifact,short_branch_artifact,5,5,28,34,124.8,395.6,0.604,True
7,artifact,short_branch_artifact,4,4,28,34,168.5,447.75,0.5688,True
8,artifact,short_branch_artifact,1,1,28,28,191.0,245.0,0.6364,False
9,bifurcation,bifurcation,7,7,28,36,117.71,346.86,0.8929,True
10,crossing_or_overlap,crossing_or_overlap,1,1,28,28,159.0,322.0,0.825,False
11,artifact,short_branch_artifact,2,2,29,30,106.0,461.5,0.5793,False
12,artifact,short_branch_artifact,8,8,29,37,114.25,325.38,0.5882,True
13,artifact,short_branch_artifact,1,1,29,29,129.0,355.0,0.5273,False
14,artifact,short_branch_artifact,4,4,29,32,146.25,317.75,0.5567,True
15,artifact,short_branch_artifact,1,1,29,29,154.0,313.0,0.586,False
16,artifact,short_branch_artifact,7,7,29,36,153.43,273.14,0.5978,True
17,artifact,short_branch_artifact,1,1,30,30,112.0,473.0,0.5628,False
18,artifact,short_branch_artifact,1,1,30,30,115.0,467.0,0.6459,False
19,artifact,short_branch_artifact,2,2,30,31,184.0,340.5,0.6144,False
20,bifurcation,bifurcation,15,15,30,46,159.8,448.93,0.9629,True
21,bifurcation,bifurcation,2,2,30,31,180.0,325.0,0.9985,False
22,crossing_or_overlap,crossing_or_overlap,3,3,30,33,119.33,394.67,0.83,True
23,artifact,short_branch_artifact,3,3,31,34,119.33,418.67,0.5398,True
24,artifact,short_branch_artifact,1,1,31,31,128.0,408.0,0.5615,False
25,artifact,short_branch_artifact,3,3,31,36,129.67,430.67,0.5741,True
26,artifact,short_branch_artifact,1,1,31,31,150.0,417.0,0.6424,False
27,artifact,short_branch_artifact,1,1,31,31,195.0,339.0,0.6279,False
28,artifact,short_branch_artifact,2,2,31,34,190.0,326.5,0.6264,False
29,artifact,short_branch_artifact,3,3,31,34,239.67,337.67,0.5983,True
30,artifact,short_branch_artifact,3,3,31,34,245.0,337.0,0.5844,True
31,bifurcation,bifurcation,1,1,31,31,160.0,282.0,0.9634,False
32,crossing_or_overlap,crossing_or_overlap,2,2,31,33,175.0,451.5,0.7182,False
33,artifact,short_branch_artifact,2,2,32,34,170.0,447.0,0.6008,False
34,artifact,short_branch_artifact,2,2,32,33,251.0,367.0,0.6054,False
35,crossing_or_overlap,crossing_or_overlap,1,1,32,32,245.0,343.0,0.8243,False
36,artifact,short_branch_artifact,1,1,33,33,255.0,366.0,0.6166,False
