track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,artifact,short_branch_artifact,2,2,16,17,120.0,383.0,0.6252,False
2,artifact,short_branch_artifact,2,2,16,17,145.5,410.5,0.645,False
3,artifact,short_branch_artifact,1,1,16,16,153.0,332.0,0.6392,False
4,artifact,short_branch_artifact,1,1,16,16,158.0,324.0,0.6393,False
5,artifact,short_branch_artifact,2,2,16,17,213.5,341.5,0.6417,False
6,artifact,short_branch_artifact,1,1,17,17,121.0,390.0,0.6231,False
7,artifact,short_branch_artifact,1,1,17,17,178.0,302.0,0.6195,False
8,artifact,short_branch_artifact,3,3,26,29,92.67,496.0,0.6033,True
9,artifact,short_branch_artifact,3,3,26,29,92.67,422.33,0.5492,True
10,artifact,short_branch_artifact,2,2,26,29,102.0,433.0,0.5762,False
11,artifact,short_branch_artifact,2,2,26,29,95.5,420.0,0.5629,False
12,artifact,short_branch_artifact,3,3,26,32,110.67,440.67,0.5895,True
13,artifact,short_branch_artifact,2,2,26,28,110.5,391.0,0.6342,False
14,artifact,short_branch_artifact,3,3,26,32,108.0,497.67,0.5498,True
15,artifact,short_branch_artifact,3,3,26,32,122.33,404.0,0.6158,True
16,artifact,short_branch_artifact,3,3,26,32,122.67,502.33,0.5429,True
17,artifact,short_branch_artifact,2,2,26,29,122.5,440.0,0.549,False
18,artifact,short_branch_artifact,3,3,26,32,127.33,496.67,0.5815,True
19,artifact,short_branch_artifact,3,3,26,32,131.33,410.67,0.6213,True
20,artifact,short_branch_artifact,1,1,26,26,137.0,562.0,0.6451,False
21,artifact,short_branch_artifact,3,3,26,32,137.0,499.33,0.5697,True
22,artifact,short_branch_artifact,1,1,26,26,142.0,448.0,0.5585,False
23,artifact,short_branch_artifact,1,1,26,26,142.0,549.0,0.6077,False
24,artifact,short_branch_artifact,3,3,26,32,141.0,562.33,0.5839,True
25,artifact,short_branch_artifact,1,1,26,26,143.0,561.0,0.617,False
26,artifact,short_branch_artifact,1,1,26,26,147.0,560.0,0.6051,False
27,artifact,short_branch_artifact,1,1,26,26,177.0,419.0,0.625,False
28,artifact,short_branch_artifact,3,3,26,32,207.67,371.33,0.616,True
29,artifact,short_branch_artifact,4,4,26,32,226.0,354.75,0.6315,True
30,artifact,short_branch_artifact,3,3,26,32,234.33,416.33,0.6082,True
31,artifact,short_branch_artifact,4,4,26,32,225.0,358.75,0.5977,True
32,artifact,short_branch_artifact,4,4,26,32,239.25,381.25,0.5971,True
33,artifact,short_branch_artifact,3,3,26,32,263.33,528.0,0.6105,True
34,artifact,short_branch_artifact,1,1,26,26,297.0,596.0,0.6185,False
35,artifact,short_branch_artifact,1,1,26,26,297.0,607.0,0.619,False
36,artifact,short_branch_artifact,1,1,26,26,300.0,585.0,0.6034,False
37,artifact,short_branch_artifact,1,1,26,26,300.0,601.0,0.6308,False
