name,frame_num,raw_bifurcation,crossing_or_overlap,artifact,uncertain,stable_bifurcation
p0006_00000002_f0013_5,13,0,0,0,0,0
p0006_00000002_f0014_5,14,0,0,0,0,0
p0006_00000002_f0015_5,15,1,0,0,0,0
p0006_00000002_f0016_5,16,1,0,0,0,0
p0006_00000002_f0017_5,17,0,0,1,0,0
p0006_00000002_f0018_5,18,1,0,0,0,0
p0006_00000002_f0019_5,19,0,0,2,0,0
p0006_00000002_f0020_5,20,1,0,3,0,0
p0006_00000002_f0021_5,21,1,0,2,0,0
p0006_00000002_f0022_5,22,2,0,9,0,0
p0006_00000002_f0023_5,23,1,0,7,1,0
p0006_00000002_f0024_5,24,2,1,13,0,0
p0006_00000002_f0025_5,25,5,2,18,2,1
p0006_00000002_f0026_5,26,1,6,20,0,1
p0006_00000002_f0027_5,27,3,5,19,0,1
p0006_00000002_f0028_5,28,3,3,28,2,2
p0006_00000002_f0029_5,29,4,6,26,1,1
p0006_00000002_f0030_5,30,4,1,21,2,1
p0006_00000002_f0031_5,31,3,3,12,2,1
p0006_00000002_f0032_5,32,4,0,21,1,1
p0006_00000002_f0033_5,33,6,4,27,2,2
p0006_00000002_f0034_5,34,6,4,33,0,2
p0006_00000002_f0035_5,35,3,5,27,3,0
p0006_00000002_f0036_5,36,7,1,18,1,1
p0006_00000002_f0037_5,37,3,4,27,0,0
p0006_00000002_f0038_5,38,5,5,29,4,1
p0006_00000002_f0039_5,39,7,5,25,1,1
p0006_00000002_f0040_5,40,5,3,38,2,1
p0006_00000002_f0041_5,41,3,2,32,2,2
p0006_00000002_f0042_5,42,3,1,25,3,2
p0006_00000002_f0043_5,43,3,1,26,1,0
p0006_00000002_f0044_5,44,5,2,26,0,1
p0006_00000002_f0045_5,45,0,4,37,1,0
p0006_00000002_f0046_5,46,5,1,37,5,1
p0006_00000002_f0047_5,47,4,4,26,1,1
p0006_00000002_f0048_5,48,8,2,31,0,1
p0006_00000002_f0049_5,49,9,4,46,2,1
p0006_00000002_f0050_5,50,4,3,27,2,1
p0006_00000002_f0051_5,51,4,4,31,1,1
p0006_00000002_f0052_5,52,9,2,27,0,0
