track_id,stable,broad_type,name,frame_id,frame_num,node_id,pixel_r,pixel_c,node_type,confidence
1,True,artifact,p0004_00000004_f0004_3,f0004,4,3,130.0,180.0,short_branch_artifact,0.6186
1,True,artifact,p0004_00000004_f0005_3,f0005,5,1,128.0,180.0,short_branch_artifact,0.6301
1,True,artifact,p0004_00000004_f0006_3,f0006,6,4,128.0,191.0,short_branch_artifact,0.623
2,False,artifact,p0004_00000004_f0005_3,f0005,5,11,218.0,266.0,short_branch_artifact,0.597
3,False,artifact,p0004_00000004_f0006_3,f0006,6,2,112.0,254.0,short_branch_artifact,0.6041
3,False,artifact,p0004_00000004_f0009_3,f0009,9,5,105.0,243.0,short_branch_artifact,0.6289
4,False,bifurcation,p0004_00000004_f0006_3,f0006,6,16,217.0,278.0,bifurcation,0.9834
5,True,artifact,p0004_00000004_f0007_3,f0007,7,18,218.0,287.0,short_branch_artifact,0.6174
5,True,artifact,p0004_00000004_f0008_3,f0008,8,18,212.0,284.0,short_branch_artifact,0.5844
5,True,artifact,p0004_00000004_f0009_3,f0009,9,20,208.0,288.0,short_branch_artifact,0.6241
5,True,artifact,p0004_00000004_f0010_3,f0010,10,22,204.0,275.0,short_branch_artifact,0.6163
5,True,artifact,p0004_00000004_f0011_3,f0011,11,33,201.0,269.0,short_branch_artifact,0.6178
5,True,artifact,p0004_00000004_f0012_3,f0012,12,30,193.0,269.0,short_branch_artifact,0.6086
5,True,artifact,p0004_00000004_f0013_3,f0013,13,35,191.0,268.0,short_branch_artifact,0.6242
5,True,artifact,p0004_00000004_f0014_3,f0014,14,40,187.0,268.0,short_branch_artifact,0.6202
5,True,artifact,p0004_00000004_f0015_3,f0015,15,16,186.0,267.0,short_branch_artifact,0.6184
6,True,bifurcation,p0004_00000004_f0007_3,f0007,7,2,110.0,249.0,bifurcation,1.0
6,True,bifurcation,p0004_00000004_f0008_3,f0008,8,1,107.0,251.0,bifurcation,0.8907
6,True,bifurcation,p0004_00000004_f0010_3,f0010,10,0,97.0,263.0,bifurcation,0.8504
7,True,bifurcation,p0004_00000004_f0007_3,f0007,7,4,121.0,212.0,bifurcation,0.9954
7,True,bifurcation,p0004_00000004_f0009_3,f0009,9,7,116.0,215.0,bifurcation,1.0
7,True,bifurcation,p0004_00000004_f0010_3,f0010,10,6,114.0,207.0,bifurcation,1.0
7,True,bifurcation,p0004_00000004_f0011_3,f0011,11,16,110.0,199.0,bifurcation,1.0
7,True,bifurcation,p0004_00000004_f0012_3,f0012,12,16,103.0,198.0,bifurcation,1.0
7,True,bifurcation,p0004_00000004_f0013_3,f0013,13,19,101.0,197.0,bifurcation,0.9559
8,False,artifact,p0004_00000004_f0008_3,f0008,8,5,116.0,212.0,short_branch_artifact,0.5948
9,False,bifurcation,p0004_00000004_f0010_3,f0010,10,3,100.0,254.0,bifurcation,0.967
10,False,artifact,p0004_00000004_f0011_3,f0011,11,57,349.0,171.0,short_branch_artifact,0.6444
11,True,bifurcation,p0004_00000004_f0011_3,f0011,11,0,80.0,286.0,bifurcation,0.9715
11,True,bifurcation,p0004_00000004_f0012_3,f0012,12,0,72.0,285.0,bifurcation,1.0
11,True,bifurcation,p0004_00000004_f0013_3,f0013,13,0,70.0,285.0,bifurcation,1.0
11,True,bifurcation,p0004_00000004_f0014_3,f0014,14,0,66.0,285.0,bifurcation,1.0
12,False,bifurcation,p0004_00000004_f0011_3,f0011,11,5,97.0,233.0,bifurcation,0.9747
13,True,artifact,p0004_00000004_f0012_3,f0012,12,6,87.0,233.0,short_branch_artifact,0.5869
13,True,artifact,p0004_00000004_f0013_3,f0013,13,7,86.0,232.0,short_branch_artifact,0.6353
13,True,artifact,p0004_00000004_f0014_3,f0014,14,6,81.0,233.0,short_branch_artifact,0.6238
14,True,bifurcation,p0004_00000004_f0012_3,f0012,12,53,343.0,170.0,bifurcation,0.9963
14,True,bifurcation,p0004_00000004_f0013_3,f0013,13,61,340.0,171.0,bifurcation,1.0
14,True,bifurcation,p0004_00000004_f0014_3,f0014,14,74,337.0,170.0,bifurcation,1.0
14,True,bifurcation,p0004_00000004_f0015_3,f0015,15,52,337.0,170.0,bifurcation,0.9996
14,True,bifurcation,p0004_00000004_f0016_3,f0016,16,59,328.0,155.0,bifurcation,1.0
15,False,artifact,p0004_00000004_f0013_3,f0013,13,46,245.0,383.0,short_branch_artifact,0.5841
15,False,artifact,p0004_00000004_f0015_3,f0015,15,32,244.0,384.0,short_branch_artifact,0.5973
16,False,artifact,p0004_00000004_f0014_3,f0014,14,21,114.0,182.0,short_branch_artifact,0.6153
16,False,artifact,p0004_00000004_f0015_3,f0015,15,2,101.0,188.0,short_branch_artifact,0.5968
17,False,artifact,p0004_00000004_f0014_3,f0014,14,63,306.0,236.0,short_branch_artifact,0.6291
17,False,artifact,p0004_00000004_f0015_3,f0015,15,45,307.0,236.0,short_branch_artifact,0.6338
18,True,bifurcation,p0004_00000004_f0014_3,f0014,14,48,236.0,414.0,bifurcation,1.0
18,True,bifurcation,p0004_00000004_f0015_3,f0015,15,28,237.0,413.0,bifurcation,1.0
18,True,bifurcation,p0004_00000004_f0017_3,f0017,17,28,235.0,400.0,bifurcation,1.0
18,True,bifurcation,p0004_00000004_f0019_3,f0019,19,21,227.0,406.0,bifurcation,0.9333
19,True,bifurcation,p0004_00000004_f0014_3,f0014,14,50,241.0,382.0,bifurcation,0.974
19,True,bifurcation,p0004_00000004_f0016_3,f0016,16,35,244.0,372.0,bifurcation,0.981
19,True,bifurcation,p0004_00000004_f0017_3,f0017,17,29,238.0,369.0,bifurcation,1.0
19,True,bifurcation,p0004_00000004_f0021_3,f0021,21,30,236.0,381.0,bifurcation,0.9288
20,False,artifact,p0004_00000004_f0016_3,f0016,16,5,97.0,169.0,short_branch_artifact,0.5727
21,True,artifact,p0004_00000004_f0016_3,f0016,16,19,178.0,247.0,short_branch_artifact,0.6226
