track_id,stable,broad_type,name,frame_id,frame_num,node_id,pixel_r,pixel_c,node_type,confidence
1,True,artifact,p0003_00000001_f0003_7,f0003,3,1,108.0,155.0,short_branch_artifact,0.642
1,True,artifact,p0003_00000001_f0004_7,f0004,4,6,100.0,147.0,short_branch_artifact,0.6185
1,True,artifact,p0003_00000001_f0005_7,f0005,5,6,106.0,146.0,short_branch_artifact,0.5982
1,True,artifact,p0003_00000001_f0006_7,f0006,6,12,90.0,142.0,short_branch_artifact,0.6305
1,True,artifact,p0003_00000001_f0007_7,f0007,7,8,92.0,141.0,short_branch_artifact,0.5915
1,True,artifact,p0003_00000001_f0008_7,f0008,8,11,96.0,143.0,short_branch_artifact,0.618
1,True,artifact,p0003_00000001_f0009_7,f0009,9,17,99.0,146.0,short_branch_artifact,0.6047
1,True,artifact,p0003_00000001_f0010_7,f0010,10,20,101.0,153.0,short_branch_artifact,0.6158
1,True,artifact,p0003_00000001_f0011_7,f0011,11,22,103.0,158.0,short_branch_artifact,0.6082
2,True,artifact,p0003_00000001_f0003_7,f0003,3,6,129.0,200.0,short_branch_artifact,0.6289
2,True,artifact,p0003_00000001_f0005_7,f0005,5,11,119.0,204.0,short_branch_artifact,0.5924
2,True,artifact,p0003_00000001_f0006_7,f0006,6,24,122.0,195.0,short_branch_artifact,0.5546
2,True,artifact,p0003_00000001_f0007_7,f0007,7,23,121.0,191.0,short_branch_artifact,0.5658
2,True,artifact,p0003_00000001_f0010_7,f0010,10,33,125.0,184.0,short_branch_artifact,0.6387
2,True,artifact,p0003_00000001_f0011_7,f0011,11,45,128.0,189.0,short_branch_artifact,0.5814
3,True,bifurcation,p0003_00000001_f0005_7,f0005,5,1,78.0,178.0,bifurcation,0.9451
3,True,bifurcation,p0003_00000001_f0006_7,f0006,6,4,74.0,179.0,bifurcation,0.918
3,True,bifurcation,p0003_00000001_f0007_7,f0007,7,2,72.0,175.0,bifurcation,0.9495
4,True,artifact,p0003_00000001_f0006_7,f0006,6,13,103.0,146.0,short_branch_artifact,0.6144
4,True,artifact,p0003_00000001_f0007_7,f0007,7,10,101.0,141.0,short_branch_artifact,0.5587
