track_id,broad_type,node_types,support_frames,observations,first_frame,last_frame,center_r,center_c,mean_confidence,stable
1,artifact,short_branch_artifact,15,15,2,19,192.93,196.07,0.6094,True
2,bifurcation,bifurcation,4,4,3,8,252.5,246.75,0.9307,True
3,artifact,short_branch_artifact,2,2,4,6,164.5,191.5,0.5596,False
4,artifact,short_branch_artifact,3,3,4,9,254.67,261.33,0.6027,True
5,bifurcation,bifurcation,2,2,5,9,167.0,210.5,0.9096,False
6,bifurcation,bifurcation,1,1,5,5,168.0,190.0,0.9808,False
7,bifurcation,bifurcation,3,3,5,10,187.67,178.0,0.9737,True
8,artifact,short_branch_artifact,3,3,6,8,180.67,168.33,0.6395,True
9,artifact,short_branch_artifact,2,2,7,8,166.0,210.0,0.6266,False
10,artifact,short_branch_artifact,2,2,7,8,190.5,170.5,0.5983,False
11,artifact,short_branch_artifact,5,5,10,15,199.2,233.6,0.6221,True
12,bifurcation,bifurcation,1,1,10,10,271.0,277.0,0.8982,False
13,artifact,short_branch_artifact,6,6,11,21,216.83,197.67,0.615,True
14,artifact,short_branch_artifact,1,1,11,11,281.0,287.0,0.6028,False
15,bifurcation,bifurcation,2,2,12,13,210.5,215.0,1.0,False
16,bifurcation,bifurcation,6,6,12,23,218.67,192.83,0.9887,True
17,bifurcation,bifurcation,3,3,12,15,296.33,298.33,0.9453,True
18,bifurcation,bifurcation,1,1,13,13,203.0,239.0,1.0,False
19,artifact,short_branch_artifact,1,1,14,14,299.0,299.0,0.6034,False
20,bifurcation,bifurcation,1,1,14,14,344.0,398.0,1.0,False
21,artifact,short_branch_artifact,1,1,15,15,467.0,210.0,0.6283,False
22,artifact,short_branch_artifact,5,5,16,21,473.0,189.6,0.6413,True
23,bifurcation,bifurcation,1,1,16,16,228.0,181.0,0.936,False
24,bifurcation,bifurcation,6,6,16,25,311.83,255.33,0.9735,True
25,artifact,short_branch_artifact,1,1,17,17,222.0,376.0,0.5738,False
26,artifact,short_branch_artifact,3,3,17,20,305.67,264.33,0.6185,True
27,bifurcation,bifurcation,3,3,17,19,474.0,184.67,0.9633,True
28,artifact,short_branch_artifact,4,4,18,23,224.5,274.75,0.5853,True
29,artifact,short_branch_artifact,5,5,18,22,220.4,184.8,0.6382,True
30,artifact,short_branch_artifact,5,5,18,23,369.4,405.2,0.6167,True
31,artifact,short_branch_artifact,29,29,18,50,391.41,371.59,0.6007,True
32,artifact,short_branch_artifact,4,4,18,21,416.75,242.0,0.6185,True
33,artifact,short_branch_artifact,2,2,19,20,376.0,254.0,0.6206,False
34,artifact,short_branch_artifact,2,2,19,20,378.5,252.5,0.6403,False
35,artifact,short_branch_artifact,1,1,20,20,377.0,258.0,0.6104,False
36,artifact,short_branch_artifact,1,1,20,20,386.0,244.0,0.6272,False
37,artifact,short_branch_artifact,1,1,20,20,392.0,252.0,0.6223,False
38,bifurcation,bifurcation,3,3,20,23,215.0,214.33,0.9528,True
39,bifurcation,bifurcation,1,1,20,20,224.0,279.0,0.9517,False
40,bifurcation,bifurcation,2,2,20,23,263.5,349.5,0.9655,False
41,artifact,short_branch_artifact,7,7,21,31,292.71,352.71,0.6007,True
42,artifact,short_branch_artifact,3,3,21,23,478.67,173.67,0.6478,True
43,bifurcation,bifurcation,1,1,21,21,377.0,374.0,0.8593,False
44,uncertain,uncertain_high_order_branch,1,1,21,21,306.0,267.0,0.7319,False
45,artifact,short_branch_artifact,1,1,22,22,232.0,172.0,0.6433,False
46,artifact,short_branch_artifact,4,4,22,25,422.25,214.75,0.6249,True
47,artifact,short_branch_artifact,2,2,22,23,479.0,165.0,0.65,False
48,bifurcation,bifurcation,3,3,23,25,235.33,178.67,0.9674,True
49,bifurcation,bifurcation,1,1,23,23,392.0,219.0,1.0,False
50,bifurcation,bifurcation,2,2,24,25,381.0,402.5,1.0,False
51,bifurcation,bifurcation,2,2,24,25,479.0,175.0,0.9796,False
52,crossing_or_overlap,crossing_or_overlap,2,2,24,25,228.5,201.5,0.6475,False
53,artifact,short_branch_artifact,4,4,25,29,264.75,283.75,0.5465,True
54,artifact,short_branch_artifact,1,1,25,25,247.0,159.0,0.6135,False
55,bifurcation,bifurcation,2,2,25,26,490.5,185.0,0.9776,False
56,artifact,short_branch_artifact,1,1,26,26,241.0,220.0,0.6387,False
57,artifact,short_branch_artifact,1,1,26,26,244.0,212.0,0.6051,False
58,artifact,short_branch_artifact,1,1,26,26,248.0,206.0,0.6318,False
59,artifact,short_branch_artifact,3,3,26,30,258.33,231.67,0.6279,True
60,artifact,short_branch_artifact,2,2,26,27,256.0,189.0,0.6386,False
61,artifact,short_branch_artifact,2,2,26,27,268.5,308.0,0.5534,False
62,artifact,short_branch_artifact,1,1,26,26,277.0,239.0,0.6137,False
63,artifact,short_branch_artifact,2,2,26,27,281.0,249.5,0.6178,False
64,artifact,short_branch_artifact,1,1,26,26,351.0,363.0,0.637,False
65,artifact,short_branch_artifact,3,3,26,28,402.0,414.67,0.6258,True
66,bifurcation,bifurcation,2,2,26,27,338.5,279.5,0.9336,False
67,bifurcation,bifurcation,3,3,26,29,454.0,255.33,0.9844,True
68,artifact,short_branch_artifact,5,5,27,33,270.0,192.2,0.6314,True
69,artifact,short_branch_artifact,2,2,27,28,423.5,274.5,0.6262,False
70,crossing_or_overlap,crossing_or_overlap,1,1,27,27,254.0,216.0,0.7357,False
71,artifact,short_branch_artifact,3,3,28,31,267.33,216.67,0.6402,True
72,artifact,short_branch_artifact,4,4,28,31,357.0,293.25,0.6218,True
73,artifact,short_branch_artifact,1,1,28,28,413.0,292.0,0.6283,False
74,artifact,short_branch_artifact,1,1,28,28,425.0,286.0,0.6303,False
75,artifact,short_branch_artifact,1,1,28,28,427.0,276.0,0.612,False
76,artifact,short_branch_artifact,1,1,28,28,430.0,280.0,0.6315,False
77,artifact,short_branch_artifact,4,4,28,31,474.25,258.0,0.5888,True
78,bifurcation,bifurcation,13,13,28,42,246.08,208.85,0.9479,True
79,bifurcation,bifurcation,3,3,28,33,306.33,351.0,0.9759,True
80,artifact,short_branch_artifact,2,2,29,31,288.5,202.5,0.6132,False
81,artifact,short_branch_artifact,1,1,29,29,294.0,315.0,0.5789,False
82,artifact,short_branch_artifact,2,2,29,31,324.0,252.0,0.5879,False
83,artifact,short_branch_artifact,1,1,29,29,377.0,354.0,0.6289,False
84,bifurcation,bifurcation,8,8,29,37,249.12,229.75,0.9248,True
85,bifurcation,bifurcation,1,1,29,29,417.0,419.0,0.9812,False
86,crossing_or_overlap,crossing_or_overlap,1,1,29,29,300.0,212.0,0.6373,False
87,artifact,short_branch_artifact,16,16,30,50,400.88,389.62,0.6061,True
88,bifurcation,bifurcation,1,1,31,31,263.0,242.0,0.9533,False
89,bifurcation,bifurcation,1,1,31,31,276.0,282.0,0.9829,False
90,artifact,short_branch_artifact,1,1,32,32,278.0,168.0,0.6329,False
91,artifact,short_branch_artifact,1,1,32,32,360.0,272.0,0.6269,False
92,artifact,short_branch_artifact,6,6,32,37,454.5,231.67,0.5967,True
93,artifact,short_branch_artifact,1,1,32,32,472.0,224.0,0.636,False
94,artifact,short_branch_artifact,1,1,32,32,473.0,235.0,0.6183,False
95,artifact,short_branch_artifact,4,4,33,36,254.5,187.0,0.6412,True
96,artifact,short_branch_artifact,3,3,33,37,417.67,408.0,0.6273,True
97,artifact,short_branch_artifact,10,10,33,46,438.9,383.6,0.5712,True
98,bifurcation,bifurcation,2,2,33,34,351.5,266.0,0.9293,False
99,crossing_or_overlap,crossing_or_overlap,1,1,34,34,419.0,406.0,0.6224,False
100,artifact,short_branch_artifact,3,3,35,37,337.0,263.33,0.6171,True
101,artifact,short_branch_artifact,2,2,36,37,449.0,222.5,0.6098,False
102,bifurcation,bifurcation,1,1,36,36,446.0,378.0,0.9097,False
103,uncertain,uncertain_high_order_branch,1,1,36,36,418.0,400.0,0.6354,False
104,bifurcation,bifurcation,5,5,37,41,235.0,191.2,0.983,True
105,artifact,short_branch_artifact,4,4,38,41,245.5,271.25,0.5807,True
106,artifact,short_branch_artifact,9,9,38,47,430.22,237.56,0.598,True
107,bifurcation,bifurcation,3,3,38,40,236.0,170.67,0.9843,True
108,bifurcation,bifurcation,3,3,38,41,318.33,250.33,0.9717,True
109,bifurcation,bifurcation,1,1,38,38,482.0,147.0,1.0,False
110,artifact,short_branch_artifact,3,3,39,41,467.67,163.0,0.6462,True
111,artifact,short_branch_artifact,5,5,40,46,297.0,346.4,0.5953,True
112,artifact,short_branch_artifact,1,1,40,40,313.0,244.0,0.6383,False
113,artifact,short_branch_artifact,7,7,40,50,379.0,412.71,0.6142,True
