track_id,stable,broad_type,name,frame_id,frame_num,node_id,pixel_r,pixel_c,node_type,confidence
1,False,artifact,p0001_00000003_f0016_1,f0016,16,2,124.0,375.0,short_branch_artifact,0.6326
1,False,artifact,p0001_00000003_f0017_1,f0017,17,2,116.0,391.0,short_branch_artifact,0.6177
2,False,artifact,p0001_00000003_f0016_1,f0016,16,13,147.0,406.0,short_branch_artifact,0.6418
2,False,artifact,p0001_00000003_f0017_1,f0017,17,12,144.0,415.0,short_branch_artifact,0.6481
3,False,artifact,p0001_00000003_f0016_1,f0016,16,14,153.0,332.0,short_branch_artifact,0.6392
4,False,artifact,p0001_00000003_f0016_1,f0016,16,15,158.0,324.0,short_branch_artifact,0.6393
5,False,artifact,p0001_00000003_f0016_1,f0016,16,26,212.0,338.0,short_branch_artifact,0.6431
5,False,artifact,p0001_00000003_f0017_1,f0017,17,22,215.0,345.0,short_branch_artifact,0.6402
6,False,artifact,p0001_00000003_f0017_1,f0017,17,3,121.0,390.0,short_branch_artifact,0.6231
7,False,artifact,p0001_00000003_f0017_1,f0017,17,18,178.0,302.0,short_branch_artifact,0.6195
8,True,artifact,p0001_00000003_f0026_1,f0026,26,5,95.0,499.0,short_branch_artifact,0.6384
8,True,artifact,p0001_00000003_f0028_1,f0028,28,6,93.0,502.0,short_branch_artifact,0.5978
8,True,artifact,p0001_00000003_f0029_1,f0029,29,5,90.0,487.0,short_branch_artifact,0.5736
9,True,artifact,p0001_00000003_f0026_1,f0026,26,7,99.0,423.0,short_branch_artifact,0.537
9,True,artifact,p0001_00000003_f0028_1,f0028,28,7,93.0,420.0,short_branch_artifact,0.5448
9,True,artifact,p0001_00000003_f0029_1,f0029,29,3,86.0,424.0,short_branch_artifact,0.5658
10,False,artifact,p0001_00000003_f0026_1,f0026,26,6,99.0,440.0,short_branch_artifact,0.5699
10,False,artifact,p0001_00000003_f0029_1,f0029,29,13,105.0,426.0,short_branch_artifact,0.5825
11,False,artifact,p0001_00000003_f0026_1,f0026,26,9,104.0,421.0,short_branch_artifact,0.5531
11,False,artifact,p0001_00000003_f0029_1,f0029,29,4,87.0,419.0,short_branch_artifact,0.5727
12,True,artifact,p0001_00000003_f0026_1,f0026,26,14,115.0,440.0,short_branch_artifact,0.6324
12,True,artifact,p0001_00000003_f0029_1,f0029,29,18,113.0,438.0,short_branch_artifact,0.552
12,True,artifact,p0001_00000003_f0032_1,f0032,32,6,104.0,444.0,short_branch_artifact,0.5841
13,False,artifact,p0001_00000003_f0026_1,f0026,26,15,116.0,391.0,short_branch_artifact,0.6284
13,False,artifact,p0001_00000003_f0028_1,f0028,28,12,105.0,391.0,short_branch_artifact,0.6401
14,True,artifact,p0001_00000003_f0026_1,f0026,26,16,116.0,495.0,short_branch_artifact,0.5308
14,True,artifact,p0001_00000003_f0029_1,f0029,29,10,103.0,499.0,short_branch_artifact,0.55
14,True,artifact,p0001_00000003_f0032_1,f0032,32,5,105.0,499.0,short_branch_artifact,0.5686
15,True,artifact,p0001_00000003_f0026_1,f0026,26,20,121.0,397.0,short_branch_artifact,0.6187
15,True,artifact,p0001_00000003_f0029_1,f0029,29,34,126.0,408.0,short_branch_artifact,0.6464
15,True,artifact,p0001_00000003_f0032_1,f0032,32,9,120.0,407.0,short_branch_artifact,0.5822
16,True,artifact,p0001_00000003_f0026_1,f0026,26,24,123.0,498.0,short_branch_artifact,0.5243
16,True,artifact,p0001_00000003_f0028_1,f0028,28,25,119.0,501.0,short_branch_artifact,0.5302
16,True,artifact,p0001_00000003_f0032_1,f0032,32,11,126.0,508.0,short_branch_artifact,0.5742
17,False,artifact,p0001_00000003_f0026_1,f0026,26,17,124.0,442.0,short_branch_artifact,0.5251
17,False,artifact,p0001_00000003_f0029_1,f0029,29,27,121.0,438.0,short_branch_artifact,0.5728
18,True,artifact,p0001_00000003_f0026_1,f0026,26,29,130.0,498.0,short_branch_artifact,0.5397
18,True,artifact,p0001_00000003_f0029_1,f0029,29,35,126.0,499.0,short_branch_artifact,0.6369
18,True,artifact,p0001_00000003_f0032_1,f0032,32,15,126.0,493.0,short_branch_artifact,0.5678
19,True,artifact,p0001_00000003_f0026_1,f0026,26,35,135.0,421.0,short_branch_artifact,0.641
19,True,artifact,p0001_00000003_f0029_1,f0029,29,44,138.0,408.0,short_branch_artifact,0.6193
