name,series_id,frame_id,annotator_id,length_px,radius_median_px,signal_mean
p0001_00000001_f0015_4,00000001,f0015,4,16.414,2.236,0.38714
p0001_00000001_f0015_4,00000001,f0015,4,7.243,4.243,0.35659
p0001_00000001_f0015_4,00000001,f0015,4,4.828,10.296,0.71628
p0001_00000001_f0015_4,00000001,f0015,4,12.485,11.18,0.60606
p0001_00000001_f0015_4,00000001,f0015,4,13.657,5.0,0.41443
p0001_00000001_f0015_4,00000001,f0015,4,7.657,10.63,0.59136
p0001_00000001_f0015_4,00000001,f0015,4,15.243,3.162,0.36227
p0001_00000001_f0015_4,00000001,f0015,4,2.414,10.817,0.53747
p0001_00000001_f0015_4,00000001,f0015,4,10.243,11.59,0.62248
p0001_00000001_f0015_4,00000001,f0015,4,9.657,13.342,0.7149
p0001_00000001_f0015_4,00000001,f0015,4,43.142,9.22,0.78992
p0001_00000001_f0015_4,00000001,f0015,4,13.728,12.042,0.70613
p0001_00000001_f0015_4,00000001,f0015,4,26.071,6.708,0.5014
p0001_00000001_f0015_4,00000001,f0015,4,2.828,7.071,0.55556
p0001_00000001_f0015_4,00000001,f0015,4,5.243,9.434,0.64341
p0001_00000001_f0015_4,00000001,f0015,4,12.243,7.606,0.62468
p0001_00000001_f0015_4,00000001,f0015,4,11.243,7.211,0.69697
p0001_00000001_f0015_4,00000001,f0015,4,2.828,7.071,0.62016
p0001_00000001_f0015_4,00000001,f0015,4,17.971,10.817,0.56755
p0001_00000001_f0015_4,00000001,f0015,4,3.828,4.039,0.72674
p0001_00000001_f0015_4,00000001,f0015,4,16.071,8.062,0.70284
p0001_00000001_f0015_4,00000001,f0015,4,2.414,3.162,0.57364
p0001_00000001_f0015_4,00000001,f0015,4,6.243,4.472,0.52584
p0001_00000001_f0015_4,00000001,f0015,4,6.243,9.22,0.67829
p0001_00000001_f0015_4,00000001,f0015,4,11.485,3.803,0.52791
p0001_00000001_f0015_4,00000001,f0015,4,24.243,8.0,0.7949
p0001_00000001_f0015_4,00000001,f0015,4,21.071,2.914,0.53953
p0001_00000001_f0016_1,00000001,f0016,1,21.243,6.0,0.65176
p0001_00000001_f0016_1,00000001,f0016,1,20.243,9.924,0.6626
p0001_00000001_f0016_1,00000001,f0016,1,10.485,6.0,0.54623
p0001_00000001_f0016_1,00000001,f0016,1,5.243,8.062,0.71603
p0001_00000001_f0016_1,00000001,f0016,1,2.414,5.0,0.46056
p0001_00000001_f0016_1,00000001,f0016,1,5.828,5.242,0.40712
p0001_00000001_f0016_1,00000001,f0016,1,5.828,8.623,0.73537
p0001_00000001_f0016_1,00000001,f0016,1,25.071,6.083,0.37436
p0001_00000001_f0016_1,00000001,f0016,1,4.414,9.487,0.68397
p0001_00000001_f0016_1,00000001,f0016,1,18.314,11.291,0.698
p0001_00000001_f0016_1,00000001,f0016,1,2.828,5.831,0.54453
p0001_00000001_f0016_1,00000001,f0016,1,28.828,8.0,0.58331
p0001_00000001_f0016_1,00000001,f0016,1,4.0,4.123,0.70076
p0001_00000001_f0016_1,00000001,f0016,1,10.485,4.0,0.3698
p0001_00000001_f0016_1,00000001,f0016,1,4.828,6.403,0.49008
p0001_00000001_f0016_1,00000001,f0016,1,15.071,11.291,0.69902
p0001_00000001_f0016_1,00000001,f0016,1,35.142,6.325,0.34804
p0001_00000001_f0016_1,00000001,f0016,1,6.243,2.236,0.23282
p0001_00000001_f0016_1,00000001,f0016,1,6.243,11.421,0.67176
p0001_00000001_f0016_1,00000001,f0016,1,12.243,8.062,0.43066
p0001_00000001_f0016_1,00000001,f0016,1,2.414,2.828,0.24427
p0001_00000001_f0016_1,00000001,f0016,1,5.243,10.63,0.61832
p0001_00000001_f0016_1,00000001,f0016,1,17.899,9.874,0.70038
p0001_00000001_f0016_1,00000001,f0016,1,6.828,13.0,0.78626
p0001_00000001_f0016_1,00000001,f0016,1,16.071,9.0,0.82087
p0001_00000001_f0016_1,00000001,f0016,1,11.485,12.145,0.77328
p0001_00000001_f0016_1,00000001,f0016,1,24.828,10.05,0.80855
p0001_00000001_f0016_1,00000001,f0016,1,2.828,11.662,0.76336
p0001_00000001_f0016_1,00000001,f0016,1,2.828,11.402,0.71501
p0001_00000001_f0016_1,00000001,f0016,1,27.485,8.972,0.5047
p0001_00000001_f0016_1,00000001,f0016,1,5.243,9.22,0.50229
p0001_00000001_f0016_1,00000001,f0016,1,3.828,12.629,0.70802
p0001_00000001_f0016_1,00000001,f0016,1,23.657,6.708,0.4225
p0001_00000001_f0016_1,00000001,f0016,1,5.243,8.944,0.56336
p0001_00000001_f0016_1,00000001,f0016,1,7.071,9.899,0.66412
p0001_00000001_f0016_1,00000001,f0016,1,3.828,11.109,0.78435
p0001_00000001_f0016_1,00000001,f0016,1,14.071,11.18,0.76101
p0001_00000001_f0016_1,00000001,f0016,1,3.414,7.912,0.74427
p0001_00000001_f0016_1,00000001,f0016,1,2.828,9.434,0.66158
p0001_00000001_f0016_1,00000001,f0016,1,4.828,5.385,0.58626
p0001_00000001_f0016_1,00000001,f0016,1,10.071,4.472,0.42578
p0001_00000001_f0016_1,00000001,f0016,1,3.828,5.05,0.61069
p0001_00000001_f0016_1,00000001,f0016,1,6.243,8.515,0.64758
p0001_00000001_f0016_1,00000001,f0016,1,2.828,5.831,0.65649
p0001_00000001_f0016_1,00000001,f0016,1,28.899,8.062,0.80464
p0001_00000001_f0016_1,00000001,f0016,1,6.828,8.062,0.7132
p0001_00000001_f0016_1,00000001,f0016,1,9.657,5.831,0.65479
p0001_00000001_f0016_1,00000001,f0016,1,5.243,3.606,0.44733
p0001_00000001_f0016_1,00000001,f0016,1,4.414,5.0,0.65496
p0001_00000001_f0016_1,00000001,f0016,1,21.485,5.0,0.67214
p0001_00000001_f0016_1,00000001,f0016,1,48.071,3.0,0.5212
p0001_00000001_f0016_4,00000001,f0016,4,19.243,8.0,0.67376
p0001_00000001_f0016_4,00000001,f0016,4,22.243,10.368,0.66586
p0001_00000001_f0016_4,00000001,f0016,4,10.485,8.0,0.54707
p0001_00000001_f0016_4,00000001,f0016,4,2.828,9.22,0.73791
p0001_00000001_f0016_4,00000001,f0016,4,8.243,8.944,0.70802
p0001_00000001_f0016_4,00000001,f0016,4,7.828,5.099,0.51908
p0001_00000001_f0016_4,00000001,f0016,4,8.243,5.608,0.46851
p0001_00000001_f0016_4,00000001,f0016,4,44.314,7.0,0.47256
p0001_00000001_f0016_4,00000001,f0016,4,13.071,10.368,0.67366
p0001_00000001_f0016_4,00000001,f0016,4,11.828,7.071,0.67557
p0001_00000001_f0016_4,00000001,f0016,4,3.414,3.803,0.32443
p0001_00000001_f0016_4,00000001,f0016,4,22.899,3.606,0.39368
p0001_00000001_f0016_4,00000001,f0016,4,5.243,11.662,0.69771
p0001_00000001_f0016_4,00000001,f0016,4,4.828,11.662,0.67939
p0001_00000001_f0016_4,00000001,f0016,4,3.828,11.683,0.6813
p0001_00000001_f0016_4,00000001,f0016,4,13.243,5.0,0.39812
p0001_00000001_f0016_4,00000001,f0016,4,22.485,5.0,0.42966
p0001_00000001_f0016_4,00000001,f0016,4,2.414,11.18,0.65649
p0001_00000001_f0016_4,00000001,f0016,4,14.071,9.434,0.61891
p0001_00000001_f0016_4,00000001,f0016,4,3.414,9.743,0.67176
p0001_00000001_f0016_4,00000001,f0016,4,6.828,12.166,0.77535
p0001_00000001_f0016_4,00000001,f0016,4,8.657,13.435,0.78531
